disease_Dui,Doencas Termos Unificados
D1275050,Síndrome de Eosinofilia-Myalgia do Triptofano
D1275434,Eritroderma de etiologia desconhecida
D1275454,Linfedema da extremidade inferior
D1275455,Linfedema do pênis
D1275460,Prurido associado à hemodiálise
D1275488,Escala eczema
D1275968,Eczema astogótico senil
D1275974,Hamartoma esplênico
D1276129,Esclerodermia induzida por porfiria
D1277259,Pangastrite
D1277276,Exacerbação da dor nas costas
D1277670,Crosta de lesão de pele pigmentada
D1278535,Pós -infarto angina
D1279983,Transtorno exanthematosa
D128,Neoplasia benigna do reto
D1281944,Endometriose do ligamento uterosacral
D1282196,Conjuntivite papilar gigante relacionada à lente
D1282232,Episclerite difusa
D1282376,Insuficiência de divergência
D1282765,Indigestão alimentar leve
D1282895,Sabor desagradável neurológico
D1283803,Síndrome de Kallman feminina
D1285162,Transtorno degenerativo
D1285333,Inflamação de sistemas corporais específicos
D1285471,Transtorno hereditário do sistema visual
D1285537,Transtorno cardiovascular neonatal
D129,Neoplasia benigna do canal anal e ânus
D1290036,Transtorno do dedo
D1290048,Urticária perstans
D1290072,Doença infecciosa da membrana mucosa
D1290121,Nevo melanocítico do ouvido
D1290136,Doença crônica do sistema musculoesquelético
D1290143,Transtorno músculo -esquelético do pescoço
D1290145,Transtorno da coluna cervical
D1290379,Doença aguda do sistema cardiovascular
D1290611,Transtorno do sistema digestivo crônico
D1290613,Transtorno do trato gastrointestinal superior
D1290785,Transtorno do palato
D1290795,Transtorno de Uvula de Palato
D1290807,Transtorno diarréico
D1290841,Transtorno agudo do sistema nervoso
D1290846,Transtorno neurológico dos movimentos oculares
D1290849,Transtorno caracterizado por edema
D1290857,Transtorno do rosto
D1290864,Transtorno do abdômen
D1290865,Distúrbio da parede abdominal
D1290866,Transtorno da pélvis
D1290876,Transtorno da extremidade inferior
D1290877,Transtorno da extremidade
D1290878,Transtorno da coxa
D1290880,Transtorno da perna
D1290882,Transtorno crônico do sistema nervoso
D1290884,Transtorno inflamatório
D1298685,Síndrome da dor crônica
D1298760,Transtorno inflamatório do mediastino
D1298989,Convulsões complicando a infecção no recém -nascido
D1299435,Angina progressiva
D1299436,Angina recorrente após angioplastia coronariana transluminal percutânea
D1299437,Angina recorrente após a colocação do stent coronariano
D1299438,Angina recorrente após enxerto de desvio da artéria coronariana
D1299439,ATRECTOMIA POST ROTATIVA RECURRENTE
D1299440,Angina recorrente após aterectomia coronária direcional
D1299598,Convulsões devido a transtorno metabólico
D1299608,Sofrimento respiratório transitório com sepse
D1299926,Diátese exsudativa
D13,Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D13,Outras Partes
D130,Neoplasia benigna do esôfago
D1300028,Transtorno caracterizado por dor
D1301339,Endometriose extraovariana
D1301398,Transtorno do umbilo neonatal
D1301829,Transtorno neurológico de terapia intensiva
D1302110,Dor de cabeça após mielografia
D1302248,Transtorno caracterizado por dor nas costas
D1302539,Condiloma acuminata da vagina
D1302710,Transtorno da cavidade corporal
D1302789,Distúrbio da pele perianal
D1302820,Transtorno da pele da cabeça
D1302834,Transtorno da pele do tronco
D1302854,Transtorno da pele do membro superior
D1304055,Prurido braquior -marcado
D1304076,Síndrome de Back Angry
D1304204,"Vasculite urticária com componente Monoclonal IGM, Schnitzler"
D1304360,Eritema inflamatório difuso
D1304387,Anormalidade de forma de unha
D1304407,Vasculite cutânea necrosante
D1304410,Vasculite do tipo doenças séricas
D1304463,Edema agudo - síndrome de distensão cutânea
D1304464,Bolhas de edema agudo
D1304478,Linfedema do lábio
D1304483,Edema venil venéreo
D1304494,Prurido generalizado de etiologia desconhecida
D131,Neoplasia benigna do estômago
D1313946,Dermatite de contato induzida pela urina
D1313963,Diarréia devido a Staphylococcus
D1319848,Transtorno alimentar noturno relacionado ao sono
D132,Neoplasia benigna do duodeno
D1321490,Eczema craquelé devido a edema agudo
D1321575,Convulsões parciais simples com sinais de motor focal com março
D133,Neoplasia benigna de outras partes e partes não especificadas do intestino delgado
D1331543,Febre pós -parto
D134,Neoplasia benigna do fígado
D135,Neoplasia benigna das vias biliares extra-hepáticas
D136,Neoplasia benigna do pâncreas
D137,Neoplasia benigna do pâncreas endócrino
D139,Neoplasia benigna de localizações mal definidas do aparelho digestivo
D1393778,Constipação devido ao intestino neurogênico
D1399352,Hemicrania paroxística
D14,Neoplasia benigna do ouvido médio e do aparelho respiratório
D140,"Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais"
D141,Neoplasia benigna da laringe
D1410262,Epilepsia induzida por estresse
D1412035,"Transtorno de equilíbrio, nervo vestibular"
D142,Neoplasia benigna da traquéia
D143,Neoplasia benigna dos brônquios e pulmão
D144,"Neoplasia benigna do aparelho respiratório, não especificado"
D1443290,"Síndrome da dor regional complexa, tipo II, membro inferior"
D1443291,"Síndrome da dor regional complexa, tipo II, membro superior"
D1446219,Síndrome rígida akinética
D1449721,Ingurgitamento da mama em recém -nascido
D1456822,Claudicação
D15,Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D15,Órgãos Intratorácicos
D150,Neoplasia benigna do timo
D1504547,Depósitos de ferro da córnea
D151,Neoplasia benigna do coração
D1510417,Marcha apraxia
D152,Neoplasia benigna do mediastino
D1527351,Transtorno da raiz nervosa
D1527353,Algodistrofia
D1531394,Icterícia perinatal nos
D1533040,Melanose primária adquirida de conjuntiva sem atipia
D1533847,Distúrbio do músculo esquelético
D1534238,(Transtorno do metabolismo da proteína plasmática: & [hiperproteineemia] ou [hipoproteinemia]) ou (macroglobulinaemia de Waldenstrom)
D1534255,Dismenorreia (& [não psicogênico] ou [congestivo] ou [espasmódico])
D1534531,(Hipersomnia com apneia do sono) ou (síndrome da apneia do sono)
D1534561,(Neuralgia/neurite - nos) ou (dor de raiz nervosa NEC)
D1534916,(Perturbação da consciência) ou (síncope/sincope/sintoma vasovagal)
D1534965,(Conjuntivite mucopurulenta aguda) ou (olho pegajoso)
D1535033,(Faringite crônica/nasofaringite) ou (catarro) ou (nariz congestionado)
D1535054,(Bronquite crônica simples) ou (tosse de fumante) ou (traqueobronquite senil)
D1535080,(Tendinite: [tornozelo/tarso] ou [Aquiles] ou [tornozelo]) ou (esporão calcão) ou (metatarsalgia)
D1535339,Articulação temporomandibular: [anquilose] ou [rígido]
D1535388,Doenças matinais (e [hiperemeseis gravidária leve])
D1535418,(Doença da língua nos) ou (língua revestida) ou (língua geográfica) ou (glossodynia)
D1535555,(Transtorno da Coccygeal Nos) ou (Coccydynia)
D1536114,Síndrome da dor central
D1536458,(Urticaria nos) ou (colmeia) ou (Pachydermia)
D1537218,Varizes genitais na gravidez (& [vaginal] ou [vulvalado])
D1540374,(Intolerância NEC: [gordura] ou [alimento] ou [leite]) ou (má absorção nos: [síndrome] ou [outro trato gastrointestinal])
D1540606,(Oclusão vascular da retina) ou (Amaurosis Fugax) ou (trombose da retina)
D1540625,(Verrugas: [genital] ou [pênis] ou [venéreo]) ou (condylomata acuminatum)
D1540722,Distúrbios do sono (e [insônia] ou [pesadelos] ou [sono (e sonambulismo)]))
D1541811,Dismenorreia (e espasmódico)
D1542018,Mioclonus: [outro] ou [Paramyoclonus multiplex]
D1542574,Icterícia fisiológica (& [nos]))
D1546197,(Ataques isquêmicos transitórios) ou (insuficiência vertebro-basilar) ou (ataques de queda)
D1561855,Hipersomnia idiopática sem tempo de sono
D1561862,Respiração periódica de alta altitude
D1561892,Transtorno do sono orgânico
D1563308,(Pele e doença do tecido subcutânea) ou (pele dolorida)
D1563321,Boca: [mucocele] ou [desconforto] ou [doenças de tecidos moles Nos]
D1565172,Cefalalgia autonômica trigêmea
D157,Neoplasia benigna de outros órgãos intratorácicos especificados
D1571826,(Virilismo) ou (virilização adrenogenital) ou (fêmea pseudohermafrodita com distúrbio adrenocortical)
D1571827,(Sialectasia) ou (estenose do ducto salivar) ou (outras doenças da glândula salivar)
D1571952,(Doença extrapiramidal Nos) ou (blefarospasmo) ou (coreo -atetose) ou (cãibra do escritor - orgânica) ou (idiotas mioclônicos) ou (torticolo espasmódico)
D1571959,(Lag de tampa) ou (xantelasma) ou (distúrbios da pálpebra nos)
D1571960,(Doença spinocerebelar) ou (ataxia cerebelar) ou (doença cerebelar)
D1571968,Nasal: [obstrução] ou [congestionamento (e seio)] ou [infecção] ou [narina dolorida] ou [cavidade e doença sinusal Nos]]
D1576410,(Condições eritematosas nos) ou (granulome anulare)
D1578669,(Conjuntivite aguda) ou (doença de Newcastle) ou (faringoconjuntivite viral) ou (olho rosa) ou (olho pegajoso)
D1578692,(Distúrbios da pele Nos) ou (granuloma de corpo estranho) ou (espinha) ou (wheal)
D1578794,(Insuficiência vascular intestinal crônica) ou (angina abdominal) ou (colite isquêmica crônica e/ou enterite)
D1578956,(Outra urticária especificada) ou (erupção cutânea)
D1579022,(Ataque de gota) ou (isquemia cerebral transitória) ou (insuficiência vertebro-basilar)
D1579723,"(Neuralgia, Neurite ou Radiculite NOS) ou (Doença de Policial)"
D159,"Neoplasia benigna de órgão intratorácico, não especificado"
D16,Cartilagem Articular
D16,Neoplasia benigna de osso e de cartilagem articular
D160,Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores
D161,Neoplasia benigna dos ossos curtos dos membros superiores
D1611178,Síndrome de Cheiro-Oral
D162,Neoplasia benigna dos ossos longos dos membros inferiores
D1621769,Pseudoparalisia devido à artrite generalizada
D1628308,Síndrome do Crescente Temporal
D163,Neoplasia benigna dos ossos curtos dos membros inferiores
D1630648,Propensão a reações adversas à comida
D1636157,Argyriase da córnea
D164,Neoplasia benigna dos ossos do crânio e da face
D1642392,Lesão pseudolinfomatosa de células T.
D1642397,Congestão e tosse respiratória
D165,Neoplasia benigna do osso da mandíbula
D166,Neoplasia benigna da coluna vertebral
D1665347,Ataxia cerebelar associada a outro distúrbio
D167,"Neoplasia benigna das costelas, do esterno e da clavícula"
D168,"Neoplasia benigna dos ossos pélvicos, sacro e cóccix"
D169,"Neoplasia benigna do osso e cartilagem articular, não especificado"
D1690985,Depósito epitlelial da córnea induzida por drogas
D1691006,Disphotopsia
D17,Lipomatosa
D17,Neoplasia lipomatosa benigna
D170,"Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço"
D1704330,Transtorno de dentes e/ou estruturas de suporte
D1704421,Transtorno da pigmentação da pele
D171,Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco
D1719788,Ataxia episódica tipo 1
D1719883,Transtorno da hipersensibilidade
D172,Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros
D1720062,Distúrbio visual subjetivo do tamanho da imagem
D1720077,Micropsia devido a doenças orgânicas
D1720149,Neuralgia associada à AIDS
D1720189,Ataxia episódica
D1720416,Ataxia episódica tipo 2
D1720571,Pigmentação de melanina
D173,Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas
D1735856,Enxaqueca com aura típica
D174,Neoplasia lipomatosa benigna de órgãos intratorácicos
D175,Neoplasia lipomatosa benigna de órgãos intra-abdominais
D176,Neoplasia lipomatosa benigna do cordão espermático
D177,Neoplasia lipomatosa benigna de outras localizações
D179,Neoplasia lipomatosa benigna de localização não especificada
D18,Hemangioma e linfangioma de qualquer localização
D18,Qualquer
D180,Hemangioma de qualquer localização
D181,Linfangioma de qualquer localização
D1827052,Enxaqueca refratária com aura
D1827190,"Enxaqueca sem aura, não refratária"
D1827250,Reflexo blefarospasmo
D1827284,Epilepsia do lobo occipital refratário
D1827389,"Epilepsia, não refratária"
D1827396,Espasmos infantis refratários
D1827624,Enxaqueca refratária sem aura
D1827629,Enxaqueca refratária
D1827691,Epilepsia refratária do lobo frontal
D1827878,Epilepsia refratária relacionada à localização
D1827966,"Variantes de enxaqueca, não intratáveis"
D1827974,Epilepsia do lobo parietal refratário
D1827983,Variantes de enxaqueca refratária
D1828175,Epilepsia refratária parcialis continua
D1834570,Distonia mioclônica
D1868745,Síndrome do queixo entorpecido
D1868889,Síndrome do intestino irritável caracterizado por constipação
D19,Neoplasia benigna de tecido mesotelial
D19,Tecido Mesotelial
D190,Neoplasia benigna do tecido mesotelial da pleura
D191,Neoplasia benigna do tecido mesotelial do peritônio
D1959853,Tendinite de flexor hallucis longus
D1959864,Monoplegia do membro superior que afeta o lado não dominante
D1959865,Transtorno da hipersomnia relacionada à menstruação
D1960052,Insuficiência respiratória crônica hipercapnica
D1960172,Cisto maxilar
D1960271,Dor de cabeça devido a alta altitude
D1960276,Brainerd Diarréia
D1960544,Verruga uretral
D1960676,Mioclonia não epiléptico
D1960709,Enxaqueca oftalmológica intratável
D1960869,Vertigem como efeito tardio do derrame
D1960870,Enxaqueca transformada
D1960877,Mioclono em estapedial
D1961123,Monoplegia do membro inferior que afeta o lado não dominante
D197,Neoplasia benigna do tecido mesotelial de outras localizações
D1971624,Perda de apetite
D1971759,Vomitar na gravidez (& [Excesso] ou [Hiperemese gravidarum] ou [doença da manhã])
D199,"Neoplasia benigna do tecido mesotelial, não especificado"
D1996989,Diarréia devido a drogas
D1997249,Neuralgia pudendal
D1997440,Artropatia da articulação do joelho
D1997771,Hipercapnia crônica
D1997918,Gemido relacionado ao sono
D1998127,Cisto complexo de adexão uterina
D1998254,Mioclonia do músculo tímpano tensor
D1998392,Defeito ventilatório obstrutivo e restritivo misto
D20,Neoplasia benigna de tecido mole do retroperitônio e do peritônio
D20,Retroperitônio
D20,Tecido Mole
D200,Neoplasia benigna do retroperitônio
D2004401,(Distúrbios dos tecidos moles Nos) ou (Polyalgia)
D2004411,Outro distúrbio dental especificado e/ou dor de dente
D2004435,Insuficiência vascular do intestino (desordem)
D2004487,Vaginoespasmo
D201,Neoplasia benigna do peritônio
D2035047,"Epilepsia de Jacksonian, Focal ou Motor"
D21,Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D21,Outros Tecidos Moles
D210,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço"
D211,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro"
D212,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril"
D213,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax
D214,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome
D215,Neoplasia benigna do tecido conjuntivo e outros tecidos moles da pelve
D2158436,Cisto de dedo
D216,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado"
D219,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação"
D22,Nevos melanocíticos
D220,Nevo melanocítico do lábio
D221,"Nevo melanocítico da pálpebra, incluindo o canto"
D222,Nevo melanocítico da orelha e do conduto auditivo externo
D223,Nevo melanocítico de outras partes e de partes não especificadas da face
D2239278,(Nasofaringite aguda) ou (resfriado comum) ou (corza aguda) ou (rinite aguda) ou (fungos) ou (Snuffles)
D224,Nevo melanocítico do couro cabeludo e do pescoço
D2242981,Micropsia histérica
D225,Nevo melanocítico do tronco
D226,"Nevo melanocítico dos membros superiores, incluindo ombro"
D2267233,Hipotonia neonatal
D227,"Nevo melanocítico dos membros inferiores, incluindo quadril"
D229,"Nevo melanocítico, não especificado"
D23,Outras neoplasias benignas da pele
D230,Neoplasia benigna da pele dos lábios
D231,"Neoplasia benigna da pele da pálpebra, incluindo o canto"
D2315264,Constipação devido ao espasmo do cólon
D2315519,Insuficiência renal aguda com oligúria
D2315536,Síndrome do estresse femoral da Patelo
D2316074,Transtorno da articulação glenumeral
D2316225,Transtorno de dor de cabeça crônica
D2316708,Constipação atônica
D2316756,Amnésia orgânica da linguagem
D232,Neoplasia benigna da pele da orelha e do conduto auditivo externo
D233,Neoplasia benigna da pele de outras partes e de partes não especificadas da face
D234,Neoplasia benigna da pele do couro cabeludo e do pescoço
D2349425,Hemicrania continua
D235,Neoplasia benigna da pele do tronco
D236,"Neoplasia benigna da pele dos membros superiores, incluindo o ombro"
D2363129,Epilepsia rolandica benigna
D2363423,Outro distúrbio mioneural específico (& [amyotonia congênita] ou [amiotonia de Oppenheim] ou [hipotonia benigna congênita] ou [síndrome do infantil de disquete]))))))))))))))))))))))))))
D237,"Neoplasia benigna da pele dos membros inferiores, incluindo o quadril"
D239,"Neoplasia benigna da pele, não especificada"
D24,Neoplasia benigna da mama
D24,Neoplasia benigna da mama
D25,Leiomioma do útero
D25,Útero
D250,Leiomioma submucoso do útero
D251,Leiomioma intramural do útero
D252,Leiomioma subseroso do útero
D2584703,Forma mixedematosa de cretinismo
D259,"Leiomioma do útero, não especificado"
D26,Outras neoplasias benignas do útero
D260,Neoplasia benigna do colo do útero
D261,Neoplasia benigna do corpo do útero
D267,Neoplasia benigna de outras partes do útero
D269,"Neoplasia benigna do útero, não especificado"
D27,Neoplasia benigna do ovário
D27,Neoplasia benigna do ovário
D27,Ovário
D2711086,Inflamação da pele devido ao parasita (desordem)
D2711235,Retardo do desenvolvimento físico
D2711445,Hydrotórax de tensão
D2711653,Epilepsia caracterizada por convulsões parciais complexas intratáveis
D2711736,Epilepsia não conversiva generalizada refratária
D2711743,Mioclonia associada à febre
D2733582,Transtorno da córnea associada à lente de contato
D28,Genitais
D28,Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D280,Neoplasia benigna da vulva
D281,Neoplasia benigna da vagina
D282,Neoplasia benigna das trompas e ligamentos uterinos
D287,Neoplasia benigna de outros órgãos genitais femininos especificados
D289,"Neoplasia benigna de órgão genital feminino, não especificado"
D29,Neoplasia benigna dos órgãos genitais masculinos
D290,Neoplasia benigna do pênis
D291,Neoplasia benigna da próstata
D2919482,Remitindo sinovite simétrica soronegativa com edema
D2919600,Divertículo de Meckel
D2919641,Azotemia postenal
D2919725,Acumulação de bile na cavidade abdominal
D2919808,Granuloma de colesterina de orelha média e mastóide
D2919930,Uremia devido a perfusão renal inadequada
D292,Neoplasia benigna dos testículos
D293,Neoplasia benigna do epidídimo
D2937217,Cisto de seio nasal
D2939435,Esfíncter esofágico hipertensivo (desordem)
D294,Neoplasia benigna do escroto
D2959492,Cisto epidermóide da pele da coxa
D2959494,Cisto epidermóide da pele da orelha
D2959868,Verruca vulgaris da pele da extremidade inferior
D2960037,Granuloma de corpo estranho do pênis
D2960211,Cisto epidermóide da pele de costas
D2960290,Cisto epidermóide da pele da virilha
D2960306,Cisto epidermóide da pele da bochecha
D2960451,Verruca vulgaris da pele de pinna
D2960589,Verruca vulgaris da pele da bochecha
D2960744,Cisto de Pinna
D2960769,Granuloma de colesterina de mastóide
D297,Neoplasia benigna de outros órgãos genitais masculinos
D2980106,PRURIGO MIITE
D2980107,Purigo de Hebra
D2981137,Epilepsia progressiva crônica parcialis continua da infância
D299,"Neoplasia benigna de órgão genital masculino, não especificado"
D30,Neoplasia benigna dos órgãos urinários
D30,Órgãos Urinários
D300,Neoplasia benigna do rim
D301,Neoplasia benigna da pelve renal
D302,Neoplasia benigna do ureter
D303,Neoplasia benigna da bexiga
D304,Neoplasia benigna da uretra
D307,Neoplasia benigna de outros órgãos urinários
D309,"Neoplasia benigna de órgão urinário, não especificado"
D31,Neoplasia benigna do olho e anexos
D310,Neoplasia benigna da conjuntiva
D311,Neoplasia benigna da córnea
D312,Neoplasia benigna da retina
D313,Neoplasia benigna da coróide
D314,Neoplasia benigna do corpo ciliar
D315,Neoplasia benigna das glândulas e dos canais lacrimais
D316,"Neoplasia benigna da órbita, não especificada"
D3164057,Massa associada ao folheto de válvula atrioventricular no defeito septal atrioventricular
D3164623,Massa congênita de folheto mitral
D319,"Neoplasia benigna do olho, não especificado"
D32,Meninges
D32,Neoplasia benigna das meninges
D320,Neoplasia benigna das meninges cerebrais
D321,Neoplasia benigna das meninges espinhais
D3245524,Distúrbios com alta estatura
D3247203,Hydroa Estivale
D3249881,Infecção - supurativa
D3263719,Melanose adquirida primária
D3266099,Hematoma da região perianal
D3266155,Síndrome de dor abdominal funcional
D329,"Neoplasia benigna das meninges, não especificada"
D33,Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D330,"Neoplasia benigna do encéfalo, supratentorial"
D331,"Neoplasia benigna do encéfalo, infratentorial"
D332,"Neoplasia benigna do encéfalo, não especificado"
D333,Neoplasia benigna dos nervos cranianos
D334,Neoplasia benigna da medula espinhal
D337,Neoplasia benigna de outras partes especificadas do sistema nervoso central
D339,"Neoplasia benigna do sistema nervoso central, não especificado"
D34,Glândula Tireóide
D34,Neoplasia benigna da glândula tireóide
D34,Neoplasia benigna da glândula tireóide
D35,Glândulas Endócrinas
D35,Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D350,Neoplasia benigna da glândula supra-renal (adrenal)
D351,Neoplasia benigna da glândula paratireóide
D352,Neoplasia benigna da glândula hipófise (pituitária)
D353,Neoplasia benigna do conduto craniofaríngeo
D354,Neoplasia benigna da glândula pineal
D355,Neoplasia benigna do corpo carotídeo
D356,Neoplasia benigna dos corpos aórticos e outros paragânglios
D357,Neoplasia benigna de outras glândulas endócrinas especificadas
D358,Neoplasia benigna com comprometimento pluriglandular
D359,"Neoplasia benigna de glândula endócrina, não especificada"
D36,Neoplasia benigna de outras localizações e de localizações não especificadas
D360,Neoplasia benigna dos gânglios linfáticos (linfonodos)
D361,Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo
D367,Neoplasia benigna de outras localizações especificadas
D369,Neoplasia benigna de localização não especificada
D37,Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D370,"Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe"
D371,Neoplasia de comportamento incerto ou desconhecido do estômago
D372,Neoplasia de comportamento incerto ou desconhecido do intestino delgado
D373,Neoplasia de comportamento incerto ou desconhecido do apêndice
D374,Neoplasia de comportamento incerto ou desconhecido dos cólons
D375,Neoplasia de comportamento incerto ou desconhecido do reto
D376,"Neoplasia de comportamento incerto ou desconhecido do fígado, vesícula biliar e vias biliares"
D377,Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos
D379,"Neoplasia de comportamento incerto ou desconhecido de órgão digestivo, não especificado"
D38,Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D380,Neoplasia de comportamento incerto ou desconhecido da laringe
D381,"Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão"
D382,Neoplasia de comportamento incerto ou desconhecido da pleura
D383,Neoplasia de comportamento incerto ou desconhecido do mediastino
D384,Neoplasia de comportamento incerto ou desconhecido do timo
D385,Neoplasia de comportamento incerto ou desconhecido de outros órgãos respiratórios
D386,"Neoplasia de comportamento incerto ou desconhecido de órgão respiratório, não especificado"
D39,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D390,Neoplasia de comportamento incerto ou desconhecido do útero
D391,Neoplasia de comportamento incerto ou desconhecido do ovário
D392,Neoplasia de comportamento incerto ou desconhecido da placenta
D397,Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos
D399,"Neoplasia de comportamento incerto ou desconhecido de órgão genital feminino, não especificado"
D40,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D400,Neoplasia de comportamento incerto ou desconhecido da próstata
D401,Neoplasia de comportamento incerto ou desconhecido do testículo
D407,Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos
D409,"Neoplasia de comportamento incerto ou desconhecido de órgão genital masculino, não especificado"
D41,Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D410,Neoplasia de comportamento incerto ou desconhecido do rim
D411,Neoplasia de comportamento incerto ou desconhecido da pelve renal
D412,Neoplasia de comportamento incerto ou desconhecido do ureter
D413,Neoplasia de comportamento incerto ou desconhecido da uretra
D414,Neoplasia de comportamento incerto ou desconhecido da bexiga
D417,Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários
D419,"Neoplasia de comportamento incerto ou desconhecido de órgão urinário, não especificado"
D42,Neoplasia de comportamento incerto ou desconhecido das meninges
D420,Neoplasia de comportamento incerto ou desconhecido das meninges cerebrais
D421,Neoplasia de comportamento incerto ou desconhecido das meninges espinhais
D429,Neoplasia de comportamento incerto ou desconhecido de meninges não especificadas
D43,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D430,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial"
D431,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial"
D432,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado"
D433,Neoplasia de comportamento incerto ou desconhecido dos nervos cranianos
D434,Neoplasia de comportamento incerto ou desconhecido da medula espinhal
D437,Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central
D439,"Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado"
D44,Comportamento
D44,Desconhecido
D44,Incerto
D44,Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D440,Neoplasia de comportamento incerto ou desconhecido da glândula tireóide
D441,Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal)
D442,Neoplasia de comportamento incerto ou desconhecido da glândula paratireóide
D443,Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária)
D444,Neoplasia de comportamento incerto ou desconhecido do conduto craniofaríngeo
D445,Neoplasia de comportamento incerto ou desconhecido da glândula pineal
D446,Neoplasia de comportamento incerto ou desconhecido do corpo carotídeo
D447,Neoplasia de comportamento incerto ou desconhecido dos corpos aórticos e outros paragânglios
D448,Neoplasia de comportamento incerto ou desconhecido com comprometimento pluriglandular
D449,"Neoplasia de comportamento incerto ou desconhecido de glândula endócrina, não especificada"
D45,Policitemia vera
D45,Policitemia vera
D45,Vera
D46,Síndromes mielodisplásicas
D460,Anemia refratária sem sideroblastos
D461,Anemia refratária com sideroblastos
D462,Anemia refratária com excesso de blastos
D463,Anemia refratária com excesso de blastos com transformação
D464,"Anemia refratária, não especificada"
D467,Outras síndromes mielodisplásicas
D469,"Síndrome mielodisplásica, não especificada"
D47,"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
D470,Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas
D471,Doença mieloproliferativa crônica
D472,Gamopatia monoclonal
D473,Trombocitemia essencial (hemorrágica)
D477,"Outras neoplasias especificadas de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos relacionados"
D479,"Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada"
D48,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D480,Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares
D481,Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles
D482,Neoplasia de comportamento incerto ou desconhecido dos nervos periféricos e do sistema nervoso periférico
D483,Neoplasia de comportamento incerto ou desconhecido do retroperitônio
D484,Neoplasia de comportamento incerto ou desconhecido do peritônio
D485,Neoplasia de comportamento incerto ou desconhecido da pele
D486,Neoplasia de comportamento incerto ou desconhecido da mama
D487,Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas
D489,Neoplasia de comportamento incerto ou desconhecido sem outra especificação
D50,Anemia por deficiência de ferro
D50,Ferro
D500,Anemia por deficiência de ferro secundária à perda de sangue (crônica)
D501,Disfagia sideropênica
D508,Outras anemias por deficiência de ferro
D509,Anemia por deficiência de ferro não especificada
D51,Anemia por deficiência de vitamina B12
D51,Vitamina B12
D510,Anemia por deficiência de vitamina B12 devida à deficiência de fator intrínseco
D511,Anemia por deficiência de vitamina B12 devida à má-absorção seletiva de vitamina B12 com proteinúria
D512,Deficiência de transcobalamina II
D513,Outras anemias por deficiência de vitamina B12 na dieta
D518,Outras anemias por deficiência de vitamina B12
