SubCapitulo,Classe
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Outras doenças do esôfago
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Transtornos do esôfago em doenças classificadas em outra parte
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Úlcera gástrica
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Úlcera duodenal
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Úlcera péptica de localização não especificada
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Úlcera gastrojejunal
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Gastrite e duodenite
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Dispepsia
"Doenças do esôfago, do estômago e do duodeno (K20-K31)",Outras doenças do estômago e do duodeno
Doenças do apêndice (K35-K38),Apendicite aguda
Doenças do apêndice (K35-K38),Outras formas de apendicite
Doenças do apêndice (K35-K38),"Apendicite, sem outras especificações"
Doenças do apêndice (K35-K38),Outras doenças do apêndice
Hérnias (K40-K46),Hérnia inguinal
Hérnias (K40-K46),Hérnia femoral
Hérnias (K40-K46),Hérnia umbilical
Hérnias (K40-K46),Hérnia ventral
Hérnias (K40-K46),Hérnia diafragmática
Hérnias (K40-K46),Outras hérnias abdominais
Hérnias (K40-K46),Hérnia abdominal não especificada
Enterites e colites não-infecciosas (K50-K52),Doença de Crohn [enterite regional]
Enterites e colites não-infecciosas (K50-K52),Colite ulcerativa
Enterites e colites não-infecciosas (K50-K52),Outras gastroenterites e colites não-infecciosas
Outras doenças dos intestinos (K55-K63),Transtornos vasculares do intestino
Outras doenças dos intestinos (K55-K63),Íleo paralítico e obstrução intestinal sem hérnia
Outras doenças dos intestinos (K55-K63),Doença diverticular do intestino
Outras doenças dos intestinos (K55-K63),Síndrome do cólon irritável
Outras doenças dos intestinos (K55-K63),Outros transtornos funcionais do intestino
Outras doenças dos intestinos (K55-K63),Fissura e fístula das regiões anal e retal
Outras doenças dos intestinos (K55-K63),Abscesso das regiões anal e retal
Outras doenças dos intestinos (K55-K63),Outras doenças do reto e do ânus
Outras doenças dos intestinos (K55-K63),Outras doenças do intestino
Doenças do peritônio (K65-K67),Peritonite
Doenças do peritônio (K65-K67),Outros transtornos do peritônio
Doenças do peritônio (K65-K67),"Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte"
Doenças do fígado (K70-K77),Doença alcoólica do fígado
Doenças do fígado (K70-K77),Doença hepática tóxica
Doenças do fígado (K70-K77),Insuficiência hepática não classificada em outra parte
Doenças do fígado (K70-K77),Hepatite crônica não classificada em outra parte
Doenças do fígado (K70-K77),Fibrose e cirrose hepáticas
Doenças do fígado (K70-K77),Outras doenças inflamatórias do fígado
Doenças do fígado (K70-K77),Outras doenças do fígado
Doenças do fígado (K70-K77),Transtornos do fígado em doenças classificadas em outra parte
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Colelitíase
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Colecistite
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Outras doenças da vesícula biliar
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Outras doenças das vias biliares
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Pancreatite aguda
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)",Outras doenças do pâncreas
"Transtornos da vesícula biliar, das vias biliares e do pâncreas (K80-K87)","Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
Outras doenças do aparelho digestivo (K90-K93),Má-absorção intestinal
Outras doenças do aparelho digestivo (K90-K93),"Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte"
Outras doenças do aparelho digestivo (K90-K93),Outras doenças do aparelho digestivo
Outras doenças do aparelho digestivo (K90-K93),Transtornos de outros órgãos digestivos em doenças classificadas em outra parte
Infecções da pele e do tecido subcutâneo (L00-L08),Síndrome da pele escaldada estafilocócica do recém-nascido
Infecções da pele e do tecido subcutâneo (L00-L08),Impetigo
Infecções da pele e do tecido subcutâneo (L00-L08),"Abscesso cutâneo, furúnculo e antraz"
Infecções da pele e do tecido subcutâneo (L00-L08),Celulite (Flegmão)
Infecções da pele e do tecido subcutâneo (L00-L08),Linfadenite aguda
Infecções da pele e do tecido subcutâneo (L00-L08),Cisto pilonidal
Infecções da pele e do tecido subcutâneo (L00-L08),Outras infecções localizadas da pele e do tecido subcutâneo
Afecções bolhosas (L10-L14),Pênfigo
Afecções bolhosas (L10-L14),Outras afecções acantolíticas
Afecções bolhosas (L10-L14),Penfigóide
Afecções bolhosas (L10-L14),Outras afecções bolhosas
Afecções bolhosas (L10-L14),Afecções bolhosas em doenças classificadas em outra parte
Dermatite e eczema (L20-L30),Dermatite atópica
Dermatite e eczema (L20-L30),Dermatite seborréica
Dermatite e eczema (L20-L30),Dermatite das fraldas
Dermatite e eczema (L20-L30),Dermatites alérgicas de contato
Dermatite e eczema (L20-L30),Dermatites de contato por irritantes
Dermatite e eczema (L20-L30),Dermatite de contato não especificada
Dermatite e eczema (L20-L30),Dermatite esfoliativa
Dermatite e eczema (L20-L30),Dermatite devida a substâncias de uso interno
Dermatite e eczema (L20-L30),Líquen simples crônico e prurigo
Dermatite e eczema (L20-L30),Prurido
Dermatite e eczema (L20-L30),Outras dermatites
Afecções pápulo-descamativas (L40-L45),Psoríase
Afecções pápulo-descamativas (L40-L45),Parapsoríase
Afecções pápulo-descamativas (L40-L45),Pitiríase rósea
Afecções pápulo-descamativas (L40-L45),Líquen plano
Afecções pápulo-descamativas (L40-L45),Outras afecções pápulo-descamativas
Afecções pápulo-descamativas (L40-L45),Afecções pápulo-descamativas em doenças classificadas em outra parte
Urticária e eritema (L50-L54),Urticária
Urticária e eritema (L50-L54),Eritema polimorfo (eritema multiforme)
Urticária e eritema (L50-L54),Eritema nodoso
Urticária e eritema (L50-L54),Outras afecções eritematosas
Urticária e eritema (L50-L54),Eritema em doenças classificadas em outra parte
Transtornos da pele e do tecido subcutâneo relacionados com a radiação (L55-L59),Queimadura solar
Transtornos da pele e do tecido subcutâneo relacionados com a radiação (L55-L59),Outras alterações agudas da pele devidas a radiação ultravioleta
Transtornos da pele e do tecido subcutâneo relacionados com a radiação (L55-L59),Alterações da pele devidas à exposição crônica à radiação não ionizante
Transtornos da pele e do tecido subcutâneo relacionados com a radiação (L55-L59),Radiodermatite
Transtornos da pele e do tecido subcutâneo relacionados com a radiação (L55-L59),Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação
Afecções dos anexos da pele (L60-L75),Afecções das unhas
Afecções dos anexos da pele (L60-L75),Afecções das unhas em doenças classificadas em outra parte
Afecções dos anexos da pele (L60-L75),Alopécia areata
Afecções dos anexos da pele (L60-L75),Alopécia androgênica
Afecções dos anexos da pele (L60-L75),Outras formas não cicatriciais da perda de cabelos ou pêlos
Afecções dos anexos da pele (L60-L75),"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]"
Afecções dos anexos da pele (L60-L75),Anormalidades da cor e do pedículo dos cabelos e dos pêlos
Afecções dos anexos da pele (L60-L75),Hipertricose
Afecções dos anexos da pele (L60-L75),Acne
Afecções dos anexos da pele (L60-L75),Rosácea
Afecções dos anexos da pele (L60-L75),Cistos foliculares da pele e do tecido subcutâneo
Afecções dos anexos da pele (L60-L75),Outras afecções foliculares
Afecções dos anexos da pele (L60-L75),Afecções das glândulas sudoríparas écrinas
Afecções dos anexos da pele (L60-L75),Afecções das glândulas sudoríparas apócrinas
Outras afecções da pele e do tecido subcutâneo (L80-L99),Vitiligo
Outras afecções da pele e do tecido subcutâneo (L80-L99),Outros transtornos da pigmentação
Outras afecções da pele e do tecido subcutâneo (L80-L99),Ceratose seborréica
Outras afecções da pele e do tecido subcutâneo (L80-L99),Acantose nigricans
Outras afecções da pele e do tecido subcutâneo (L80-L99),Calos e calosidades
Outras afecções da pele e do tecido subcutâneo (L80-L99),Outras formas de espessamento epidérmico
Outras afecções da pele e do tecido subcutâneo (L80-L99),Ceratodermia em doenças classificadas em outra parte
Outras afecções da pele e do tecido subcutâneo (L80-L99),Transtornos da eliminação transepidérmica
Outras afecções da pele e do tecido subcutâneo (L80-L99),Piodermite gangrenosa
Outras afecções da pele e do tecido subcutâneo (L80-L99),Úlcera de decúbito
Outras afecções da pele e do tecido subcutâneo (L80-L99),Afecções atróficas da pele
Outras afecções da pele e do tecido subcutâneo (L80-L99),Afecções hipertróficas da pele
Outras afecções da pele e do tecido subcutâneo (L80-L99),Afecções granulomatosas da pele e do tecido subcutâneo
Outras afecções da pele e do tecido subcutâneo (L80-L99),Lúpus eritematoso
Outras afecções da pele e do tecido subcutâneo (L80-L99),Outras afecções localizadas do tecido conjuntivo
Outras afecções da pele e do tecido subcutâneo (L80-L99),Vasculite limitada a pele não classificadas em outra parte
Outras afecções da pele e do tecido subcutâneo (L80-L99),Úlcera dos membros inferiores não classificada em outra parte
Outras afecções da pele e do tecido subcutâneo (L80-L99),Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte
Outras afecções da pele e do tecido subcutâneo (L80-L99),Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte
Artropatias (M00-M25),Artrite piogênica
Artropatias (M00-M25),Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte
Artropatias (M00-M25),Artropatias reacionais
Artropatias (M00-M25),Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte
Artropatias (M00-M25),Artrite reumatóide soro-positiva
Artropatias (M00-M25),Outras artrites reumatóides
Artropatias (M00-M25),Artropatias psoriásicas e enteropáticas
Artropatias (M00-M25),Artrite juvenil
Artropatias (M00-M25),Artrite juvenil em doenças classificadas em outra parte
Artropatias (M00-M25),Gota
Artropatias (M00-M25),Outras artropatias por deposição de cristais
Artropatias (M00-M25),Outras artropatias especificadas
Artropatias (M00-M25),Outras artrites
Artropatias (M00-M25),Artropatias em outras doenças classificadas em outra parte
Artropatias (M00-M25),Poliartrose
Artropatias (M00-M25),Coxartrose [artrose do quadril]
Artropatias (M00-M25),Gonartrose [artrose do joelho]
Artropatias (M00-M25),Artrose da primeira articulação carpometacarpiana
Artropatias (M00-M25),Outras artroses
Artropatias (M00-M25),Deformidades adquiridas dos dedos das mãos e dos pés
Artropatias (M00-M25),Outras deformidades adquiridas dos membros
Artropatias (M00-M25),Transtornos da rótula [patela]
Artropatias (M00-M25),Transtornos internos dos joelhos
Artropatias (M00-M25),Outros transtornos articulares específicos
Artropatias (M00-M25),Outros transtornos articulares não classificados em outra parte
Doenças sistêmicas do tecido conjuntivo (M30-M36),Poliarterite nodosa e afecções correlatas
Doenças sistêmicas do tecido conjuntivo (M30-M36),Outras vasculopatias necrotizantes
Doenças sistêmicas do tecido conjuntivo (M30-M36),Lúpus eritematoso disseminado [sistêmico]
Doenças sistêmicas do tecido conjuntivo (M30-M36),Dermatopoliomiosite
Doenças sistêmicas do tecido conjuntivo (M30-M36),Esclerose sistêmica
Doenças sistêmicas do tecido conjuntivo (M30-M36),Outras afecções sistêmicas do tecido conjuntivo
Doenças sistêmicas do tecido conjuntivo (M30-M36),Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte
Dorsopatias (M40-M54),Cifose e lordose
Dorsopatias (M40-M54),Escoliose
Dorsopatias (M40-M54),Osteocondrose da coluna vertebral
Dorsopatias (M40-M54),Outras dorsopatias deformantes
Dorsopatias (M40-M54),Espondilite ancilosante
Dorsopatias (M40-M54),Outras espondilopatias inflamatórias
Dorsopatias (M40-M54),Espondilose
Dorsopatias (M40-M54),Outras espondilopatias
Dorsopatias (M40-M54),Espondilopatias em doenças classificadas em outra parte
Dorsopatias (M40-M54),Transtornos dos discos cervicais
Dorsopatias (M40-M54),Outros transtornos de discos intervertebrais
Dorsopatias (M40-M54),Outras dorsopatias não classificadas em outra parte
Dorsopatias (M40-M54),Dorsalgia
Transtornos dos tecidos moles (M60-M79),Miosite
Transtornos dos tecidos moles (M60-M79),Calcificação e ossificação do músculo
Transtornos dos tecidos moles (M60-M79),Outros transtornos musculares
Transtornos dos tecidos moles (M60-M79),Transtornos de músculo em doenças classificadas em outra parte
Transtornos dos tecidos moles (M60-M79),Sinovite e tenossinovite
Transtornos dos tecidos moles (M60-M79),Ruptura espontânea de sinóvia e de tendão
Transtornos dos tecidos moles (M60-M79),Outros transtornos das sinóvias e dos tendões
Transtornos dos tecidos moles (M60-M79),Transtorno de sinóvias e de tendões em doenças classificadas em outra parte
Transtornos dos tecidos moles (M60-M79),"Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão"
Transtornos dos tecidos moles (M60-M79),Outras bursopatias
Transtornos dos tecidos moles (M60-M79),Transtornos fibroblásticos
Transtornos dos tecidos moles (M60-M79),Transtornos dos tecidos moles em doenças classificadas em outra parte
Transtornos dos tecidos moles (M60-M79),Lesões do ombro
Transtornos dos tecidos moles (M60-M79),"Entesopatias dos membros inferiores, excluindo pé"
Transtornos dos tecidos moles (M60-M79),Outras entesopatias
Transtornos dos tecidos moles (M60-M79),"Outros transtornos dos tecidos moles, não classificados em outra parte"
Osteopatias e condropatias (M80-M94),Osteoporose com fratura patológica
Osteopatias e condropatias (M80-M94),Osteoporose sem fratura patológica
Osteopatias e condropatias (M80-M94),Osteoporose em doenças classificadas em outra parte
Osteopatias e condropatias (M80-M94),Osteomalácia do adulto
Osteopatias e condropatias (M80-M94),Transtornos da continuidade do osso
Osteopatias e condropatias (M80-M94),Outros transtornos da densidade e da estrutura ósseas
Osteopatias e condropatias (M80-M94),Osteomielite
Osteopatias e condropatias (M80-M94),Osteonecrose
Osteopatias e condropatias (M80-M94),Doença de Paget do osso (osteíte deformante)
Osteopatias e condropatias (M80-M94),Outros transtornos ósseos
Osteopatias e condropatias (M80-M94),Osteopatias em doenças classificadas em outra parte
Osteopatias e condropatias (M80-M94),Osteocondrose juvenil do quadril e da pelve
Osteopatias e condropatias (M80-M94),Outras osteocondroses juvenis
Osteopatias e condropatias (M80-M94),Outras osteocondropatias
Osteopatias e condropatias (M80-M94),Outros transtornos das cartilagens
Outros transtornos do sistema osteomuscular e do tecido conjuntivo (M95-M99),Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo
Outros transtornos do sistema osteomuscular e do tecido conjuntivo (M95-M99),Transtornos osteomusculares pós-procedimentos não classificados em outra parte
Outros transtornos do sistema osteomuscular e do tecido conjuntivo (M95-M99),Lesões biomecânicas não classificadas em outra parte
Doenças glomerulares (N00-N08),Síndrome nefrítica aguda
Doenças glomerulares (N00-N08),Síndrome nefrítica rapidamente progressiva
Doenças glomerulares (N00-N08),Hematúria recidivante e persistente
Doenças glomerulares (N00-N08),Síndrome nefrítica crônica
Doenças glomerulares (N00-N08),Síndrome nefrótica
Doenças glomerulares (N00-N08),Síndrome nefrítica não especificada
Doenças glomerulares (N00-N08),Proteinúria isolada com lesão morfológica especificada
Doenças glomerulares (N00-N08),Nefropatia hereditária não classificada em outra parte
Doenças glomerulares (N00-N08),Transtornos glomerulares em doenças classificadas em outra parte
Doenças renais túbulo-intersticiais (N10-N16),Nefrite túbulo-intersticial aguda
Doenças renais túbulo-intersticiais (N10-N16),Nefrite túbulo-intersticial crônica
Doenças renais túbulo-intersticiais (N10-N16),Nefrite túbulo-intersticial não especificada se aguda ou crônica
Doenças renais túbulo-intersticiais (N10-N16),Uropatia obstrutiva e por refluxo
Doenças renais túbulo-intersticiais (N10-N16),Afecções tubulares e túbulo-intersticiais induzidas por drogas ou metais pesados
Doenças renais túbulo-intersticiais (N10-N16),Outras doenças renais túbulo-intersticiais
Doenças renais túbulo-intersticiais (N10-N16),Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte
Insuficiência renal (N17-N19),Insuficiência renal aguda
Insuficiência renal (N17-N19),Insuficiência renal crônica
Insuficiência renal (N17-N19),Insuficiência renal não especificada
Calculose renal (N20-N23),Calculose do rim e do ureter
Calculose renal (N20-N23),Calculose do trato urinário inferior
Calculose renal (N20-N23),Calculose do trato urinário inferior em doenças classificadas em outra parte
Calculose renal (N20-N23),Cólica nefrética não especificada
Outros transtornos do rim e do ureter (N25-N29),Transtornos resultantes de função renal tubular alterada
Outros transtornos do rim e do ureter (N25-N29),"Rim contraído, não especificado"
Outros transtornos do rim e do ureter (N25-N29),Hipoplasia renal de causa desconhecida
Outros transtornos do rim e do ureter (N25-N29),Outros transtornos do rim e do ureter não classificado em outra parte
Outros transtornos do rim e do ureter (N25-N29),Outros transtornos do rim e do ureter em doenças classificadas em outra parte
Outras doenças do aparelho urinário (N30-N39),Cistite
Outras doenças do aparelho urinário (N30-N39),Disfunções neuromusculares da bexiga não classificados em outra parte
Outras doenças do aparelho urinário (N30-N39),Outros transtornos da bexiga
Outras doenças do aparelho urinário (N30-N39),Transtornos da bexiga em doenças classificadas em outra parte
Outras doenças do aparelho urinário (N30-N39),Uretrite e síndrome uretral
Outras doenças do aparelho urinário (N30-N39),Estenose da uretra
Outras doenças do aparelho urinário (N30-N39),Outros transtornos da uretra
Outras doenças do aparelho urinário (N30-N39),Transtornos da uretra em doenças classificadas em outra parte
Outras doenças do aparelho urinário (N30-N39),Outros transtornos do trato urinário
Doenças dos órgãos genitais masculinos (N40-N51),Hiperplasia da próstata
Doenças dos órgãos genitais masculinos (N40-N51),Doenças inflamatórias da próstata
Doenças dos órgãos genitais masculinos (N40-N51),Outras afecções da próstata
Doenças dos órgãos genitais masculinos (N40-N51),Hidrocele e espermatocele
Doenças dos órgãos genitais masculinos (N40-N51),Torção do testículo
Doenças dos órgãos genitais masculinos (N40-N51),Orquite e epididimite
Doenças dos órgãos genitais masculinos (N40-N51),Infertilidade masculina
Doenças dos órgãos genitais masculinos (N40-N51),"Hipertrofia do prepúcio, fimose e parafimose"
Doenças dos órgãos genitais masculinos (N40-N51),Outros transtornos do pênis
Doenças dos órgãos genitais masculinos (N40-N51),"Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte"
Doenças dos órgãos genitais masculinos (N40-N51),Outros transtornos dos órgãos genitais masculinos
Doenças dos órgãos genitais masculinos (N40-N51),Transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte
Doenças da mama (N60-N64),Displasias mamárias benignas
Doenças da mama (N60-N64),Transtornos inflamatórios da mama
Doenças da mama (N60-N64),Hipertrofia da mama
Doenças da mama (N60-N64),Nódulo mamário não especificado
Doenças da mama (N60-N64),Outras doenças da mama
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Salpingite e ooforite
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),"Doença inflamatória do útero, exceto o colo"
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Doença inflamatória do colo do útero
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Outras doenças inflamatórias pélvicas femininas
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Doenças da glândula de Bartholin
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Outras afecções inflamatórias da vagina e da vulva
Doenças inflamatórias dos órgãos pélvicos femininos (N70-N77),Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Endometriose
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Prolapso genital feminino
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Fístulas do trato genital feminino
Transtornos não-inflamatórios do trato genital feminino (N80-N98),"Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo"
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Pólipo do trato genital feminino
Transtornos não-inflamatórios do trato genital feminino (N80-N98),"Outros transtornos não-inflamatórios do útero, exceto do colo do útero"
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Erosão e ectrópio do colo do útero
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Displasia do colo do útero
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Outros transtornos não-inflamatórios do colo do útero
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Outros transtornos não-inflamatórios da vagina
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Outros transtornos não-inflamatórios da vulva e do períneo
Transtornos não-inflamatórios do trato genital feminino (N80-N98),"Menstruação ausente, escassa e pouco freqüente"
Transtornos não-inflamatórios do trato genital feminino (N80-N98),"Menstruação excessiva, freqüente e irregular"
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Outros sangramentos anormais do útero e da vagina
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Dor e outras afecções associadas com os órgãos genitais femininos e com o ciclo menstrual
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Transtornos da menopausa e da perimenopausa
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Abortamento habitual
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Infertilidade feminina
Transtornos não-inflamatórios do trato genital feminino (N80-N98),Complicações associadas à fecundação artificial
Outros transtornos do aparelho geniturinário (N99-N99),Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte
Gravidez que termina em aborto (O00-O08),Gravidez ectópica
Gravidez que termina em aborto (O00-O08),Mola hidatiforme
Gravidez que termina em aborto (O00-O08),Outros produtos anormais da concepção
Gravidez que termina em aborto (O00-O08),Aborto espontâneo
Gravidez que termina em aborto (O00-O08),Aborto por razões médicas e legais
Gravidez que termina em aborto (O00-O08),Outros tipos de aborto
Gravidez que termina em aborto (O00-O08),Aborto não especificado
Gravidez que termina em aborto (O00-O08),Falha de tentativa de aborto
Gravidez que termina em aborto (O00-O08),Complicações conseqüentes a aborto e gravidez ectópica ou molar
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)","Hipertensão pré-existente complicando a gravidez, o parto e o puerpério"
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)",Distúrbio hipertensivo pré-existente com proteinúria superposta
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)","Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão"
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)",Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)",Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)",Eclâmpsia
"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério (O10-O16)",Hipertensão materna não especificada
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Hemorragia do início da gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Vômitos excessivos na gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Complicações venosas na gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Infecções do trato geniturinário na gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Diabetes mellitus na gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Desnutrição na gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Assistência materna por outras complicações ligadas predominantemente à gravidez
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),"Achados anormais do rastreamento [""screening""] antenatal da mãe"
Outros transtornos maternos relacionados predominantemente com a gravidez (O20-O29),Complicações de anestesia administrada durante a gravidez
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Gestação múltipla
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Complicações específicas de gestação múltipla
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),"Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto"
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Assistência prestada à mãe por uma desproporção conhecida ou suspeita
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),"Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos"
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),"Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas"
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Polihidrâmnio
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Outros transtornos das membranas e do líquido amniótico
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Ruptura prematura de membranas
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Transtornos da placenta
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Placenta prévia
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Descolamento prematuro da placenta [abruptio placentae]
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Hemorragia anteparto não classificada em outra parte
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Falso trabalho de parto
Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto (O30-O48),Gravidez prolongada
Complicações do trabalho de parto e do parto (O60-O75),Trabalho de parto pré-termo
Complicações do trabalho de parto e do parto (O60-O75),Falha na indução do trabalho de parto
Complicações do trabalho de parto e do parto (O60-O75),Anormalidades da contração uterina
Complicações do trabalho de parto e do parto (O60-O75),Trabalho de parto prolongado
Complicações do trabalho de parto e do parto (O60-O75),Obstrução do trabalho de parto devida à má-posição ou má-apresentação do feto
Complicações do trabalho de parto e do parto (O60-O75),Obstrução do trabalho de parto devida a anormalidade pélvica da mãe
Complicações do trabalho de parto e do parto (O60-O75),Outras formas de obstrução do trabalho de parto
Complicações do trabalho de parto e do parto (O60-O75),Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte
Complicações do trabalho de parto e do parto (O60-O75),Trabalho de parto e parto complicados por sofrimento fetal
Complicações do trabalho de parto e do parto (O60-O75),Trabalho de parto e parto complicados por anormalidade do cordão umbilical
Complicações do trabalho de parto e do parto (O60-O75),Laceração do períneo durante o parto
Complicações do trabalho de parto e do parto (O60-O75),Outros traumatismos obstétricos
Complicações do trabalho de parto e do parto (O60-O75),Hemorragia pós-parto
Complicações do trabalho de parto e do parto (O60-O75),"Retenção da placenta e das membranas, sem hemorragias"
Complicações do trabalho de parto e do parto (O60-O75),Complicações de anestesia durante o trabalho de parto e o parto
Complicações do trabalho de parto e do parto (O60-O75),Outras complicações do trabalho de parto e do parto não classificadas em outra parte
Parto (O80-O84),Parto único espontâneo
Parto (O80-O84),Parto único por fórceps ou vácuo-extrator
Parto (O80-O84),Parto único por cesariana
Parto (O80-O84),Outros tipos de parto único assistido
Parto (O80-O84),Parto múltiplo
Complicações relacionadas predominantemente com o puerpério (O85-O92),Infecção puerperal
