Classe,DESCRICAO
Outras afecções eritematosas,"Afecções eritematosas, não especificadas"
Eritema em doenças classificadas em outra parte,Eritema marginado na febre reumática aguda
Eritema em doenças classificadas em outra parte,Eritema em outras doenças classificadas em outra parte
Queimadura solar,Queimadura solar de primeiro grau
Queimadura solar,Queimadura solar de segundo grau
Queimadura solar,Queimadura solar de terceiro grau
Queimadura solar,Outras queimaduras solares
Queimadura solar,"Queimadura solar, não especificada"
Outras alterações agudas da pele devidas a radiação ultravioleta,Resposta fototóxica a drogas
Outras alterações agudas da pele devidas a radiação ultravioleta,Resposta fotoalérgica a drogas
Outras alterações agudas da pele devidas a radiação ultravioleta,Dermatite por fotocontato [dermatite do berloque]
Outras alterações agudas da pele devidas a radiação ultravioleta,Urticária solar
Outras alterações agudas da pele devidas a radiação ultravioleta,Erupção polimorfa à luz
Outras alterações agudas da pele devidas a radiação ultravioleta,Outras alterações agudas especificadas da pele devidas a radiação ultravioleta
Outras alterações agudas da pele devidas a radiação ultravioleta,"Alterações agudas da pele devidas a radiação ultravioleta, não especificadas"
Alterações da pele devidas à exposição crônica à radiação não ionizante,Ceratose actínica
Alterações da pele devidas à exposição crônica à radiação não ionizante,Reticulóide actínica
Alterações da pele devidas à exposição crônica à radiação não ionizante,Cútis romboidal da nuca
Alterações da pele devidas à exposição crônica à radiação não ionizante,Poiquilodermia de Civatte
Alterações da pele devidas à exposição crônica à radiação não ionizante,Cútis laxa senil
Alterações da pele devidas à exposição crônica à radiação não ionizante,Granuloma actínico
Alterações da pele devidas à exposição crônica à radiação não ionizante,Outras alterações da pele devidas a exposição crônica à radiação não-ionizante
Alterações da pele devidas à exposição crônica à radiação não ionizante,"Alterações da pele devidas a exposição crônica a radiação não-ionizante, não especificadas"
Radiodermatite,Radiodermatite aguda
Radiodermatite,Radiodermatite crônica
Radiodermatite,"Radiodermatite, não especificada"
Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação,Eritema devido ao calor ou ao fogo [dermatite ab igne]
Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação,Outras afecções especificadas da pele e do tecido subcutâneo relacionadas com a radiação
Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação,"Afecções da pele e do tecido subcutâneo relacionadas com a radiação, não especificadas"
Afecções das unhas,Unha encravada
Afecções das unhas,Onicólise
Afecções das unhas,Onicogrifose
Afecções das unhas,Distrofia ungueal
Afecções das unhas,Linhas de Beau
Afecções das unhas,Síndrome das unhas amareladas
Afecções das unhas,Outras afecções das unhas
Afecções das unhas,"Afecções das unhas, não especificadas"
Afecções das unhas em doenças classificadas em outra parte,Paquidermoperiostose com unhas hipocráticas (em vidro de relógio)
Afecções das unhas em doenças classificadas em outra parte,Afecções das unhas em outras doenças classificadas em outra parte
Alopécia areata,Alopécia total (capitis)
Alopécia areata,Alopécia universal
Alopécia areata,Ofíase
Alopécia areata,Outras formas de alopécia areata
Alopécia areata,"Alopécia areata, não especificada"
Alopécia androgênica,Alopécia androgênica induzida por droga
Alopécia androgênica,Outras alopécias androgênicas
Alopécia androgênica,"Alopécia androgênica, não especificada"
Outras formas não cicatriciais da perda de cabelos ou pêlos,Eflúvio telógeno
Outras formas não cicatriciais da perda de cabelos ou pêlos,Eflúvio anágeno
Outras formas não cicatriciais da perda de cabelos ou pêlos,Alopécia mucinosa
Outras formas não cicatriciais da perda de cabelos ou pêlos,"Outras formas, especificadas, não cicatriciais, de perda de cabelos ou pêlos"
Outras formas não cicatriciais da perda de cabelos ou pêlos,"Perda de cabelos ou pêlos não cicatriciais, não especificada"
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Pseudopelada
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Líquen planopilar
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Foliculite descalvante
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Perifoliculite abscedante da cabeça
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Foliculite uleritematosa reticulada
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]",Outras formas de alopécia cicatricial
"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]","Alopécia cicatricial, não especificada"
Anormalidades da cor e do pedículo dos cabelos e dos pêlos,Tricorrexe nodosa
Anormalidades da cor e do pedículo dos cabelos e dos pêlos,Variações da cor dos cabelos ou pêlos
Anormalidades da cor e do pedículo dos cabelos e dos pêlos,Outras anormalidades da cor e do pedículo dos cabelos ou pêlos
Anormalidades da cor e do pedículo dos cabelos e dos pêlos,"Anormalidades da cor e do pedículo dos cabelos e dos pêlos, não especificadas"
Hipertricose,Hirsutismo
Hipertricose,Hipertricose lanuginosa adquirida
Hipertricose,Hipertricose localizada
Hipertricose,Politríquia
Hipertricose,Outras formas de hipertricose
Hipertricose,"Hipertricose, não especificada"
Acne,Acne vulgar
Acne,Acne conglobata
Acne,Acne varioliforme
Acne,Acne tropical
Acne,Acne infantil
Acne,Acne escoriada das mulheres jovens
Acne,Outras formas de acne
Acne,"Acne, não especificada"
Rosácea,Dermatite perioral
Rosácea,Rinofima
Rosácea,Outras formas de rosácea
Rosácea,"Rosácea, não especificada"
Cistos foliculares da pele e do tecido subcutâneo,Cisto epidérmico
Cistos foliculares da pele e do tecido subcutâneo,Cisto triquilemal
Cistos foliculares da pele e do tecido subcutâneo,Esteatocistoma múltiplo
Cistos foliculares da pele e do tecido subcutâneo,Outras formas de cistos foliculares da pele e do tecido subcutâneo
Cistos foliculares da pele e do tecido subcutâneo,"Cisto folicular, não especificado da pele e do tecido subcutâneo"
Outras afecções foliculares,Acne quelóide
Outras afecções foliculares,Pseudofoliculite da barba
Outras afecções foliculares,Hidradenite supurativa
Outras afecções foliculares,Outras afecções foliculares especificadas
Outras afecções foliculares,"Afecções foliculares, não especificadas"
Afecções das glândulas sudoríparas écrinas,Miliária rubra
Afecções das glândulas sudoríparas écrinas,Miliária cristalina
Afecções das glândulas sudoríparas écrinas,Miliária profunda
Afecções das glândulas sudoríparas écrinas,"Miliária, não especificada"
Afecções das glândulas sudoríparas écrinas,Anidrose
Afecções das glândulas sudoríparas écrinas,Outras afecções das glândulas sudoríparas écrinas
Afecções das glândulas sudoríparas écrinas,"Afecções das glândulas sudoríparas écrinas, não especificadas"
Afecções das glândulas sudoríparas apócrinas,Bromidrose
Afecções das glândulas sudoríparas apócrinas,Cromidrose
Afecções das glândulas sudoríparas apócrinas,Miliária apócrina
Afecções das glândulas sudoríparas apócrinas,Outras afecções das glândulas sudoríparas apócrinas
Afecções das glândulas sudoríparas apócrinas,"Afecções de glândulas sudoríparas apócrinas, não especificadas"
Vitiligo,Vitiligo
Outros transtornos da pigmentação,Hiperpigmentação pós-inflamatória
Outros transtornos da pigmentação,Cloasma
Outros transtornos da pigmentação,Sardas
Outros transtornos da pigmentação,Manchas café-com-leite
Outros transtornos da pigmentação,Outras formas de hiperpigmentação pela melanina
Outros transtornos da pigmentação,Leucodermia não classificada em outra parte
Outros transtornos da pigmentação,Outros transtornos ligados à diminuição da formação de melanina
Outros transtornos da pigmentação,Dermatose purpúrica pigmentada
Outros transtornos da pigmentação,Outros transtornos especificados da pigmentação
Outros transtornos da pigmentação,"Transtorno da pigmentação, não especificado"
Ceratose seborréica,Ceratose seborréica
Acantose nigricans,Acantose nigricans
Calos e calosidades,Calos e calosidades
Outras formas de espessamento epidérmico,Ictiose adquirida
Outras formas de espessamento epidérmico,Ceratose adquirida [ceratodermia] palmar e plantar
Outras formas de espessamento epidérmico,Ceratose punctata (palmar e plantar)
Outras formas de espessamento epidérmico,Xerose cutânea
Outras formas de espessamento epidérmico,Outras formas de espessamento epidérmico
Outras formas de espessamento epidérmico,"Espessamento epidérmico, não especificado"
Ceratodermia em doenças classificadas em outra parte,Ceratodermia em doenças classificadas em outra parte
Transtornos da eliminação transepidérmica,Ceratose folicular e parafolicular penetrante na pele [Síndrome de Kyrle]
Transtornos da eliminação transepidérmica,Colagenose perfurante reativa
Transtornos da eliminação transepidérmica,Elastose perfurante serpiginosa
Transtornos da eliminação transepidérmica,Outros transtornos da eliminação transepidérmica
Transtornos da eliminação transepidérmica,"Transtorno da eliminação transepidérmica, não especificado"
Piodermite gangrenosa,Piodermite gangrenosa
Úlcera de decúbito,Úlcera de decúbito
Afecções atróficas da pele,Líquen escleroso e atrófico
Afecções atróficas da pele,Anetodermia de Schweninger-Buzzi
Afecções atróficas da pele,Anetodermia de Jadassohn-Pellizzari
Afecções atróficas da pele,Atrofodermia de Pasini e Pierini
Afecções atróficas da pele,Acrodermatite crônica atrófica
Afecções atróficas da pele,Cicatrizes e fibrose cutânea
Afecções atróficas da pele,Estrias atróficas
Afecções atróficas da pele,Outras afecções atróficas da pele
Afecções atróficas da pele,"Afecções atróficas da pele, não especificadas"
Afecções hipertróficas da pele,Cicatriz quelóide
Afecções hipertróficas da pele,Outras afecções hipertróficas da pele
Afecções hipertróficas da pele,"Afecções hipertróficas da pele, não especificadas"
Afecções granulomatosas da pele e do tecido subcutâneo,Granuloma anular
Afecções granulomatosas da pele e do tecido subcutâneo,Necrobiose lipoídica não classificada em outra parte
Afecções granulomatosas da pele e do tecido subcutâneo,Granuloma facial [granuloma eosinófilo da pele]
Afecções granulomatosas da pele e do tecido subcutâneo,Granuloma de corpo estranho da pele e do tecido subcutâneo
Afecções granulomatosas da pele e do tecido subcutâneo,Outras afecções granulomatosas da pele e do tecido subcutâneo
Afecções granulomatosas da pele e do tecido subcutâneo,"Afecções granulomatosas da pele e do tecido subcutâneo, não especificados"
Lúpus eritematoso,Lúpus eritematoso discóide
Lúpus eritematoso,Lúpus eritematoso cutâneo subagudo
Lúpus eritematoso,Outras formas de lúpus eritematoso localizado
Outras afecções localizadas do tecido conjuntivo,Esclerodermia localizada [morféia]
Outras afecções localizadas do tecido conjuntivo,Esclerodermia linear
Outras afecções localizadas do tecido conjuntivo,Calcinose cutânea
Outras afecções localizadas do tecido conjuntivo,Esclerodactilia
Outras afecções localizadas do tecido conjuntivo,Pápulas de Gottron
Outras afecções localizadas do tecido conjuntivo,Poiquilodermia vascular atrófica
Outras afecções localizadas do tecido conjuntivo,Ainhum
Outras afecções localizadas do tecido conjuntivo,"Outras afecções localizadas do tecido conjuntivo, especificadas"
Outras afecções localizadas do tecido conjuntivo,"Afecções localizadas do tecido conjuntivo, não especificadas"
Vasculite limitada a pele não classificadas em outra parte,Vasculite livedóide
Vasculite limitada a pele não classificadas em outra parte,Eritema elevado diutino (duradouro)
Vasculite limitada a pele não classificadas em outra parte,Outras vasculites limitadas a pele
Vasculite limitada a pele não classificadas em outra parte,"Vasculites limitadas a pele, não especificadas"
Úlcera dos membros inferiores não classificada em outra parte,Úlcera dos membros inferiores não classificada em outra parte
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Granuloma piogênico
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Dermatite factícia
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Dermatose neutrofílica febril [Sweet]
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Celulite eosinofílica [Wells]
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,"Úlcera crônica da pele, não classificada em outra parte"
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Mucinose da pele
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Outras afecções infiltrativas da pele e do tecido subcutâneo
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,Outras afecções especificadas da pele e do tecido subcutâneo
Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte,"Afecções da pele e do tecido subcutâneo, não especificados"
Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte,Amiloidose cutânea
Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte,Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte
Artrite piogênica,Artrite e pioliartrite estafilocócicas
Artrite piogênica,Artrite e poliartrite pneumocócicas
Artrite piogênica,Outras artrites e poliartrites estreptocócicas
Artrite piogênica,Artrite e poliartrite devidas a outro agente bacteriano especificado
Artrite piogênica,"Artrite piogênica, não especificada"
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite meningocócica
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite tuberculosa
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite na doença de Lyme
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite em outras doenças bacterianas classificadas em outra parte
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite na rubéola
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite em outras doenças virais classificadas em outra parte
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite em micoses
Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte,Artrite em outras doenças infecciosas e parasitárias classificadas em outra parte
Artropatias reacionais,Artropatia pós-derivação intestinal
Artropatias reacionais,Artropatia pós-desintérica
Artropatias reacionais,Artropatia pós-imunização
Artropatias reacionais,Doença de Reiter
Artropatias reacionais,Outras artropatias reacionais
Artropatias reacionais,Artropatia reacional não especificada
Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte,Artrite pós-meningocócica
Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte,Artropatia pós-infecciosa na sífilis
Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte,Outras artropatias pós-infecciosas em doenças classificadas em outra parte
Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte,Artropatia reacional em outras doenças classificadas em outra parte
Artrite reumatóide soro-positiva,Síndrome de Felty
Artrite reumatóide soro-positiva,Doença reumatóide do pulmão
Artrite reumatóide soro-positiva,Vasculite reumatóide
Artrite reumatóide soro-positiva,Artrite reumatóide com comprometimento de outros órgãos e sistemas
Artrite reumatóide soro-positiva,Outras artrites reumatóides soro-positivas
Artrite reumatóide soro-positiva,Artrite reumatóide soro-positiva não especificada
Outras artrites reumatóides,Artrite reumatóide soro-negativa
Outras artrites reumatóides,Doença de Still do adulto
Outras artrites reumatóides,Bursite reumatóide
Outras artrites reumatóides,Nódulo reumatóide
Outras artrites reumatóides,Poliartropatia inflamatória
Outras artrites reumatóides,Outras artrites reumatóides especificadas
Outras artrites reumatóides,Artrite reumatóide não especificada
Artropatias psoriásicas e enteropáticas,Artropatia psoriásica interfalangiana distal
Artropatias psoriásicas e enteropáticas,Artrite mutilante
Artropatias psoriásicas e enteropáticas,Espondilite psoriásica
Artropatias psoriásicas e enteropáticas,Outras artropatias psoriásicas
Artropatias psoriásicas e enteropáticas,Artropatia na doença de Crohn [enterite regional]
Artropatias psoriásicas e enteropáticas,Artropatia na colite ulcerativa
Artropatias psoriásicas e enteropáticas,Outras artropatias enteropáticas
Artrite juvenil,Artrite reumatóide juvenil
Artrite juvenil,Espondilite ancilosante juvenil
Artrite juvenil,Artrite juvenil com início sistêmico
Artrite juvenil,Poliartrite juvenil (soro-negativa)
Artrite juvenil,Artrite juvenil pauciarticular
Artrite juvenil,Outras artrites juvenis
Artrite juvenil,Artrite juvenil não especificada
Artrite juvenil em doenças classificadas em outra parte,Artrite juvenil na psoríase
Artrite juvenil em doenças classificadas em outra parte,Artrite juvenil na doença de Chron [enterite regional]
Artrite juvenil em doenças classificadas em outra parte,Artrite juvenil na colite ulcerativa
Artrite juvenil em doenças classificadas em outra parte,Artrite juvenil em outras doenças classificadas em outra parte
Gota,Gota idiopática
Gota,Gota induzida por chumbo
Gota,Gota induzida por drogas
Gota,Gota devida à disfunção renal
Gota,Outra gota secundária
Gota,"Gota, não especificada"
Outras artropatias por deposição de cristais,Doença por deposição de hidroxiapatita
Outras artropatias por deposição de cristais,Condrocalcinose familiar
Outras artropatias por deposição de cristais,Outras condrocalcinoses
Outras artropatias por deposição de cristais,Outras artropatias especificadas por deposição de cristais
Outras artropatias por deposição de cristais,"Artropatia por deposição de cristais, não especificada"
Outras artropatias especificadas,Artropatia pós-reumática crônica [Jaccoud]
Outras artropatias especificadas,Doença de Kashin-Beck
Outras artropatias especificadas,Sinovite vilonodular (pigmentada)
Outras artropatias especificadas,Reumatismo palindrômico
Outras artropatias especificadas,Hidrartrose intermitente
Outras artropatias especificadas,Artropatia traumática
Outras artropatias especificadas,Outras artropatias específicas não classificadas em outra parte
Outras artrites,Poliartrite não especificada
Outras artrites,Monoartrites não classificadas em outra parte
Outras artrites,Outras artrites especificadas
Outras artrites,Artrite não especificada
Artropatias em outras doenças classificadas em outra parte,Artropatia gotosa devida a defeitos enzimáticos e a outras doenças hereditárias
Artropatias em outras doenças classificadas em outra parte,Artropatia por depósito de cristais em outras doenças metabólicas classificadas em outra parte
Artropatias em outras doenças classificadas em outra parte,Artropatia diabética
Artropatias em outras doenças classificadas em outra parte,Dermatoartrite lipóide
Artropatias em outras doenças classificadas em outra parte,Artropatia na amiloidose
Artropatias em outras doenças classificadas em outra parte,"Artropatias em outras doenças endócrinas, nutricionais e metabólicas"
Artropatias em outras doenças classificadas em outra parte,Artropatia neuropática
Artropatias em outras doenças classificadas em outra parte,Artropatias em outras doenças especificadas classificadas em outra parte
Poliartrose,(Osteo)artrose primária generalizada
Poliartrose,Nódulos de Heberden (com artropatia)
Poliartrose,Nódulos de Bouchard (com artropatia)
Poliartrose,Artrose múltipla secundária
Poliartrose,(Osteo)artrose erosiva
Poliartrose,Outras poliartroses
Poliartrose,Poliartrose não especificada
Coxartrose [artrose do quadril],Coxartrose primária bilateral
Coxartrose [artrose do quadril],Outras coxartroses primárias
Coxartrose [artrose do quadril],Coxartrose bilateral resultante de displasia
Coxartrose [artrose do quadril],Outras coxartroses displásicas
Coxartrose [artrose do quadril],Coxartrose bilateral pós-traumática
Coxartrose [artrose do quadril],Outras coxartroses pós-traumáticas
Coxartrose [artrose do quadril],Outras coxartroses secundárias bilaterais
Coxartrose [artrose do quadril],Outras coxartroses secundárias
Coxartrose [artrose do quadril],Coxartrose não especificada
Gonartrose [artrose do joelho],Gonartrose primária bilateral
Gonartrose [artrose do joelho],Outras gonartroses primárias
Gonartrose [artrose do joelho],Gonartrose pós-traumática bilateral
Gonartrose [artrose do joelho],Outras gonartroses pós-traumática
Gonartrose [artrose do joelho],Outras gonartroses secundárias bilaterais
Gonartrose [artrose do joelho],Outras gonartroses secundárias
Gonartrose [artrose do joelho],Gonartrose não especificada
Artrose da primeira articulação carpometacarpiana,Artrose primária bilateral das primeiras articulações carpometacarpianas
Artrose da primeira articulação carpometacarpiana,Outras artroses primárias da primeira articulação carpometacarpiana
Artrose da primeira articulação carpometacarpiana,Artrose pós-traumática bilateral da primeira articulação carpometacarpiana
Artrose da primeira articulação carpometacarpiana,Outras artroses pós-traumáticas da primeira articulação carpometacarpiana
Artrose da primeira articulação carpometacarpiana,Outras cartroses secundárias bilaterais das primeiras articulações carpometacarpianas
Artrose da primeira articulação carpometacarpiana,Outras artroses secundárias da primeira articulação carpometacarpiana
Artrose da primeira articulação carpometacarpiana,Artrose não especificada da primeira articulação carpometacarpiana
Outras artroses,Artrose primária de outras articulações
Outras artroses,Artrose pós-traumática de outras articulações
Outras artroses,Outras artroses secundárias
Outras artroses,Outras artroses especificadas
Outras artroses,Artrose não especificada
Deformidades adquiridas dos dedos das mãos e dos pés,Deformidade(s) do(s) dedo(s) das mãos
Deformidades adquiridas dos dedos das mãos e dos pés,Hallux valgo (adquirido)
Deformidades adquiridas dos dedos das mãos e dos pés,Hallux rigidus
Deformidades adquiridas dos dedos das mãos e dos pés,Outra deformidade do hallux (adquirida)
Deformidades adquiridas dos dedos das mãos e dos pés,Dedo(s) do pé em malho (adquirido)
Deformidades adquiridas dos dedos das mãos e dos pés,Outras deformidades (adquiridas) do(s) dedo(s) dos pés
Deformidades adquiridas dos dedos das mãos e dos pés,Deformidade adquirida não especificada de dedo(s) do pé
Outras deformidades adquiridas dos membros,Deformidade em valgo não classificada em outra parte
Outras deformidades adquiridas dos membros,Deformidade em varo não classificada em outra parte
Outras deformidades adquiridas dos membros,Deformidade em flexão
Outras deformidades adquiridas dos membros,Mão (pulso) ou pé pendente (adquirido)
Outras deformidades adquiridas dos membros,Pé chato [pé plano] (adquirido)
Outras deformidades adquiridas dos membros,Mão e pé em garra e mão e pé tortos adquiridos
Outras deformidades adquiridas dos membros,Outras deformidades adquiridas do tornozelo e do pé
Outras deformidades adquiridas dos membros,Desigualdade (adquirida) do comprimento dos membros
Outras deformidades adquiridas dos membros,Outras deformidades adquiridas especificadas dos membros
Outras deformidades adquiridas dos membros,Deformidade adquirida não especificada de membro
Transtornos da rótula [patela],Deslocamento recidivante da rótula
Transtornos da rótula [patela],Subluxação recidivante da rótula
Transtornos da rótula [patela],Transtornos femuropatelares
Transtornos da rótula [patela],Outros desarranjos da rótula
Transtornos da rótula [patela],Condromalácia da rótula
Transtornos da rótula [patela],Outros transtornos da rótula
Transtornos da rótula [patela],"Transtorno da rótula, não especificado"
Transtornos internos dos joelhos,Menisco cístico
Transtornos internos dos joelhos,Menisco discóide (congênito)
Transtornos internos dos joelhos,Transtorno do menisco devido à ruptura ou lesão antiga
Transtornos internos dos joelhos,Outros transtornos do menisco
Transtornos internos dos joelhos,Corpo flutuante no joelho
Transtornos internos dos joelhos,Instabilidade crônica do joelho
Transtornos internos dos joelhos,Outras rupturas espontâneas de ligamento(s) do joelho
Transtornos internos dos joelhos,Outros transtornos internos do joelho
Transtornos internos dos joelhos,Transtorno interno não especificado do joelho
Outros transtornos articulares específicos,Corpo flutuante em articulação
Outros transtornos articulares específicos,Outros transtornos das cartilagens articulares
Outros transtornos articulares específicos,Transtornos de ligamentos
Outros transtornos articulares específicos,"Deslocamento e subluxação patológicas de articulação, não classificada em outra parte"
Outros transtornos articulares específicos,Deslocamento e subluxação de articulação recidivantes
Outros transtornos articulares específicos,Contratura articular
Outros transtornos articulares específicos,Ancilose articular
Outros transtornos articulares específicos,Protusão do acetábulo
Outros transtornos articulares específicos,"Outros transtornos articulares específicos, não classificados em outra parte"
Outros transtornos articulares específicos,Desarranjo articular não especificado
Outros transtornos articulares não classificados em outra parte,Hemartrose
Outros transtornos articulares não classificados em outra parte,Fístula articular
Outros transtornos articulares não classificados em outra parte,Flail joint
Outros transtornos articulares não classificados em outra parte,Outras instabilidades articulares
Outros transtornos articulares não classificados em outra parte,Derrame articular
Outros transtornos articulares não classificados em outra parte,Dor articular
Outros transtornos articulares não classificados em outra parte,Rigidez articular não classificada em outra parte
Outros transtornos articulares não classificados em outra parte,Osteofito
Outros transtornos articulares não classificados em outra parte,Outros transtornos articulares especificados
Outros transtornos articulares não classificados em outra parte,Transtorno articular não especificado
Poliarterite nodosa e afecções correlatas,Poliarterite nodosa
Poliarterite nodosa e afecções correlatas,Poliarterite com comprometimento pulmonar [Churg-Strauss]
Poliarterite nodosa e afecções correlatas,Poliarterite juvenil
Poliarterite nodosa e afecções correlatas,Síndrome de linfonodos mucocutâneos [Kawasaki]
Poliarterite nodosa e afecções correlatas,Outras afecções comuns na poliarterite nodosa
Outras vasculopatias necrotizantes,Angeíte de hipersensibilidade
Outras vasculopatias necrotizantes,Microangiopatia trombótica
Outras vasculopatias necrotizantes,Granuloma da linha média letal
Outras vasculopatias necrotizantes,Granulomatose de Wegener
Outras vasculopatias necrotizantes,Síndrome do arco aórtico [Takayasu]
Outras vasculopatias necrotizantes,Arterite de células gigantes com polimialgia reumática
Outras vasculopatias necrotizantes,Outras arterites de células gigantes
Outras vasculopatias necrotizantes,Poliangeíte microscópica
Outras vasculopatias necrotizantes,Outras vasculopatias necrotizantes especificadas
Outras vasculopatias necrotizantes,Vasculopatia necrotizante não especificada
Lúpus eritematoso disseminado [sistêmico],Lúpus eritematoso disseminado [sistêmico] induzido por drogas
Lúpus eritematoso disseminado [sistêmico],Lúpus eritematoso disseminado [sistêmico] com comprometimento de outros órgãos e sistemas
Lúpus eritematoso disseminado [sistêmico],Outras formas de lúpus eritematoso disseminado [sistêmico]
Lúpus eritematoso disseminado [sistêmico],Lúpus eritematoso disseminado [sistêmico] não especificado
Dermatopoliomiosite,Dermatomiosite juvenil
Dermatopoliomiosite,Outras dermatomiosites
Dermatopoliomiosite,Polimiosite
Dermatopoliomiosite,Dermatopolimiosite não especificada
Esclerose sistêmica,Esclerose sistêmica progressiva
Esclerose sistêmica,Síndrome CR(E)ST
Esclerose sistêmica,Esclerose sistêmica induzida por droga e substâncias químicas
Esclerose sistêmica,Outras formas de esclerose sistêmica
Esclerose sistêmica,Esclerose sistêmica não especificada
Outras afecções sistêmicas do tecido conjuntivo,Síndrome seca [Sjögren]
Outras afecções sistêmicas do tecido conjuntivo,Outras síndromes superpostas
Outras afecções sistêmicas do tecido conjuntivo,Doença de Behçet
Outras afecções sistêmicas do tecido conjuntivo,Polimialgia reumática
Outras afecções sistêmicas do tecido conjuntivo,Fasciíte (eosinofílica) difusa
Outras afecções sistêmicas do tecido conjuntivo,Fibroesclerose multifocal
Outras afecções sistêmicas do tecido conjuntivo,Paniculite recidivante [Weber-Christian]
Outras afecções sistêmicas do tecido conjuntivo,Síndrome de hipermobilidade
Outras afecções sistêmicas do tecido conjuntivo,Outro comprometimento sistêmico especificado do tecido conjuntivo
Outras afecções sistêmicas do tecido conjuntivo,Comprometimento sistêmico não especificado do tecido conjuntivo
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Dermato(poli)miosite em doenças neoplásicas
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Artropatia em doenças neoplásicas classificadas
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Artropatia hemofílica
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Artropatias em outras doenças hematológicas
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Artropatia associada a reações de hipersensibilidade classificadas em outra parte
Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte,Doenças sistêmicas do tecido conjuntivo em outras doenças classificadas em outra parte
Cifose e lordose,Cifose postural
Cifose e lordose,Outras cifoses secundárias
Cifose e lordose,Outras cifoses e as não especificadas
Cifose e lordose,Síndrome da retificação da coluna vertebral
Cifose e lordose,Outras lordoses
Cifose e lordose,Lordose não especificada
Escoliose,Escoliose idiopática infantil
Escoliose,Escoliose idiopática juvenil
Escoliose,Outras escolioses idiopáticas
Escoliose,Escoliose toracogênica
Escoliose,Escoliose neuromuscular
Escoliose,Outras escolioses secundárias
Escoliose,Outras formas de escoliose
Escoliose,Escoliose não especificada
Osteocondrose da coluna vertebral,Osteocondrose vertebral juvenil
Osteocondrose da coluna vertebral,Osteocondrose vertebral do adulto
Osteocondrose da coluna vertebral,"Osteocondrose vertebral, não especificada"
Outras dorsopatias deformantes,Espondilólise
Outras dorsopatias deformantes,Espondilolistese
Outras dorsopatias deformantes,Outras fusões da coluna vertebral
Outras dorsopatias deformantes,Subluxação atlanto-axial recidivante com mielopatia
Outras dorsopatias deformantes,Outras subluxações atlanto-axiais recidivantes
Outras dorsopatias deformantes,Outras subluxações vertebrais recidivantes
Outras dorsopatias deformantes,Torcicolo
Outras dorsopatias deformantes,Outras dorsopatias deformantes especificadas
Outras dorsopatias deformantes,"Dorsopatia deformante, não especificada"
Espondilite ancilosante,Espondilite ancilosante
Outras espondilopatias inflamatórias,Entesopatia vertebral
Outras espondilopatias inflamatórias,Sacroileíte não classificada em outra parte
Outras espondilopatias inflamatórias,Osteomielite das vértebras
Outras espondilopatias inflamatórias,Infecção (piogênica) do disco intervertebral
Outras espondilopatias inflamatórias,Discite não especificada
Outras espondilopatias inflamatórias,Outras espondilopatias infecciosas
