Grupo,Sintomas (termos)
PubMed,Dor de cabeça
PubMed,Congestão nasal
PubMed,Dor muscular
PubMed,Dor abdominal recorrente
PubMed,Sinal de Auspitz
PubMed,Insônia
PubMed,Corrimento nasal
PubMed,Convulsão
PubMed,Dor abdominal crônica
PubMed,Alucinações visuais
PubMed,Taquipnéia
PubMed,(Constipação funcional) ou (fezes impactadas)
PubMed,(Distúrbios visuais não observados) ou (ambliopia) ou (visão embaçada)
PubMed,(Esoforia) ou (estrabismo) ou (oftalmoplegia)
PubMed,(Hemiplegia espástica) ou (pé espástico)
PubMed,(Lábio dolorido) ou (estomatite angular e/ou queilite)
PubMed,(Leucorréia não especificada) ou (corrimento vaginal)
PubMed,(Outros sintomas articulares da região pélvica e da coxa) ou (estalo do quadril) ou (quadril irritável)
PubMed,(Outros sintomas nas costas) ou (síndrome da articulação facetária)
PubMed,(Priapismo) ou (ereção - dolorosa)
PubMed,(Rinite crônica) ou (catarro não especificado)
PubMed,Abdome escafoide
PubMed,Abdômen agudo
PubMed,Aberração cromática da visão
PubMed,Aberração esférica da visão
PubMed,Achado clínico
PubMed,Achado de dor no local anatômico
PubMed,Achado de vômito
PubMed,Achado na retina
PubMed,Acromia da pele
PubMed,Adiadococinesia
PubMed,Afonia paralítica
PubMed,Afrouxamento do dente
PubMed,Alteração arlequim
PubMed,Alteração visual
PubMed,Alterações na textura da pele
PubMed,Alucinações formadas de pessoas
PubMed,Alucinações induzidas por álcool
PubMed,Alucinações visuais formadas
PubMed,Alucinações visuais não formadas
PubMed,Amamentação dolorosa
PubMed,Anestesia no local de aplicação
PubMed,Angina abdominal
PubMed,Angina intestinal
PubMed,Angioscotoma
PubMed,Aniseikonia
PubMed,Anomalia de divergência
PubMed,Anormalidades respiratórias
PubMed,Anormalidades respiratórias
PubMed,Apneia induzida por drogas
PubMed,Ardência na pele
PubMed,Artralgia por rubéola
PubMed,Ataque de gota
PubMed,Ataxia
PubMed,Aumento da amplitude de movimento das articulações
PubMed,Aumento do tônus em forma de faca
PubMed,Aumento do tônus muscular
PubMed,Aura epiléptica
PubMed,Ausência de deglutição
PubMed,Ausência de sensibilidade
PubMed,Automatismo do sono
PubMed,Autonegligência
PubMed,Balanço involuntário do tronco
PubMed,Baqueteamento (anormalidade morfológica)
PubMed,Baqueteamento da unha
PubMed,Batida de cabeça relacionada ao sono
PubMed,Batimentos prematuros juncionais
PubMed,Blefaroespasmo
PubMed,Boca dolorida
PubMed,Braços doloridos e dedos em movimento
PubMed,Bradicardia fetal
PubMed,Branqueamento da pele
PubMed,Broncorréia
PubMed,Cãibra
PubMed,Cãibra no pé
PubMed,Cãibras no banho de imersão
PubMed,Calcose da córnea
PubMed,Canal auditivo eritematoso
PubMed,Cancro esporotricótico
PubMed,Cancro tripanossômico
PubMed,Cancro tuberculoso
PubMed,Canela de sabre
PubMed,Caroço no dedo
PubMed,Catarro sinusal
PubMed,Cavitação vítrea
PubMed,Cefaleia do tipo thunderclap
PubMed,Cefaléia pós-punção dural
PubMed,Cervicobraquialgia
PubMed,Cheilodinia
PubMed,Choro excessivo do recém-nascido
PubMed,Cianose central
PubMed,Cianose da pele
PubMed,Cianose facial neonatal traumática
PubMed,Cianose neonatal
PubMed,Ciática
PubMed,Claudicação do braço
PubMed,Clique no polegar (categoria dependente do contexto)
PubMed,Clônus
PubMed,Clônus no punho
PubMed,Coceira na pele
PubMed,Coceira no couro cabeludo
PubMed,Coiloníquia
PubMed,Coleção intra-abdominal
PubMed,Cólica apendicular
PubMed,Cólica do apêndice
PubMed,Coloração dos dentes devido a medicamentos
PubMed,Coloração extrínseca dos dentes associada a hábitos orais
PubMed,Coloração extrínseca dos dentes associada à higiene bucal inadequada
PubMed,Coma e estupor
PubMed,Condição eritematosa
PubMed,Congestão do seio nasal
PubMed,Constipação crônica
PubMed,Convulsão de grande mal
PubMed,Convulsão parcial
PubMed,Convulsão tônica
PubMed,Convulsão tônico-clônica
PubMed,Coréia pós-hemiplégica
PubMed,Corrimento conjuntival com muco
PubMed,Corrimento conjuntival mucopurulento
PubMed,Corrimento nasal catarral
PubMed,Corrimento nasal presente
PubMed,Corrimento nasal purulento
PubMed,Corrimento ocular
PubMed,Corrimento purulento no mamilo
PubMed,Couro cabeludo escamoso
PubMed,Crescimento excessivo de pelos faciais
PubMed,Crescimento excessivo de pelos nas pernas
PubMed,Crescimento excessivo de pelos no corpo
PubMed,Crise do pênis
PubMed,Cruralgia
PubMed,Dacriopes
PubMed,Deficiência de movimentos de perseguição suave
PubMed,Deficiência do movimento de perseguição suave
PubMed,Deposição de pigmento da malária
PubMed,Deposição de pigmento esquistossomótico
PubMed,Dermografismo retardado
PubMed,Derrame articular em outro local especificado
PubMed,Derrame de fezes
PubMed,Derrame na bainha do tendão
PubMed,Descamação das unhas
PubMed,Descarga do mamilo
PubMed,Descoloração escleral
PubMed,Desconforto na boca
PubMed,Desconforto respiratório
PubMed,Desconforto visual
PubMed,Diarréia após cirurgia do trato gastrointestinal
PubMed,Diarréia devido à ingestão de substâncias inabsorvíveis
PubMed,Diarréia espúria - transbordamento
PubMed,Dilatação vascular paroxística
PubMed,Diminuição do tônus muscular
PubMed,Diplacusia
PubMed,Diplopia monocular
PubMed,Diplopia refrativa
PubMed,Discinesia neonatal
PubMed,Disdiadococinesia
PubMed,Disfonia de tremor orgânico
PubMed,Disfonia espástica
PubMed,Disfonia flácida
PubMed,Disfonia pseudobulbar espástica
PubMed,Disfunção do sono com distúrbio da excitação
PubMed,Disfunção do sono com distúrbio do estágio do sono
PubMed,Disfunção motora
PubMed,Dismenorréia espasmódica
PubMed,Dispneia paroxística noturna
PubMed,Distensão da bexiga
PubMed,Distonia
PubMed,Distonia diurna
PubMed,Distonia paroxística
PubMed,Distorções visuais de forma E/OU tamanho
PubMed,Distúrbio da sensação cutânea
PubMed,Distúrbio de fluidos
PubMed,Distúrbio do umbigo
PubMed,Distúrbio mioclônico
PubMed,Distúrbio no comportamento do sono
PubMed,Distúrbio relacionado a lentes de contato
PubMed,Distúrbio visual subjetivo
PubMed,Distúrbios do sono (& [hipersônia] ou [insônia])
PubMed,Distúrbios sintomáticos na gravidez
PubMed,Disúria psíquica
PubMed,Dor à penetração
PubMed,Dor anal
PubMed,Dor ao engolir
PubMed,Dor causada por expansor de tecido
PubMed,Dor causada por implante mamário
PubMed,Dor crônica intratável
PubMed,Dor de cabeça após punção lombar
PubMed,Dor de cabeça lancinante idiopática
PubMed,Dor de cabeça na menopausa
PubMed,Dor de cabeça occipital
PubMed,Dor devido à prótese da articulação do joelho
PubMed,Dor devido à prótese da articulação do ombro
PubMed,"Dor devido a qualquer dispositivo, implante E/OU enxerto"
PubMed,Dor durante o fluxo de saída do dialisato
PubMed,Dor durante o influxo de dialisato
PubMed,Dor em cólica
PubMed,Dor em repouso devido a doença vascular periférica
PubMed,Dor esclerotômica
PubMed,Dor independente de simpatia
PubMed,Dor isquêmica no peito
PubMed,Dor lombar - renal
PubMed,Dor lombar sacral
PubMed,Dor mantida por simpatia
PubMed,Dor na articulação sacroilíaca
PubMed,Dor na bolsa escrotal
PubMed,Dor na cavidade dentária
PubMed,Dor na clavícula
PubMed,Dor na coluna torácica
PubMed,Dor na estrutura da cavidade oral
PubMed,Dor na estrutura digestiva
PubMed,Dor na estrutura endócrina
PubMed,Dor na garganta
PubMed,Dor na parede torácica
PubMed,Dor na região da cabeça e do pescoço
PubMed,Dor na tireoide
PubMed,Dor nas articulações
PubMed,Dor nas costas complicando a gravidez
PubMed,Dor neuralgiforme unilateral de curta duração com injeção conjuntival e síndrome de lacrimejamento
PubMed,Dor neurogênica
PubMed,Dor neurogênica periférica
PubMed,Dor neuropática
PubMed,Dor neuropática periférica
PubMed,Dor no ato sexual masculino
PubMed,Dor no cóccix
PubMed,Dor no esôfago
PubMed,Dor no fígado
PubMed,Dor no local da injeção
PubMed,Dor no membro inferior
PubMed,Dor no pênis
PubMed,Dor no períneo masculino
PubMed,Dor no seio frontal
PubMed,Dor no seio maxilar
PubMed,Dor no testículo
PubMed,Dor nos órgãos genitais femininos
PubMed,Dor óssea
PubMed,Dor óssea maligna
PubMed,Dor pancreática
PubMed,Dor pélvica crônica em mulheres
PubMed,Dor persistente após o procedimento
PubMed,Dor por tensão muscular
PubMed,Dor pós-operatória
PubMed,Dor prostática
PubMed,Dor pseudotalâmica
PubMed,Dor radicular
PubMed,Dor retal
PubMed,Dor testicular persistente
PubMed,Dor vaginal crônica
PubMed,Dor vulvovaginal
PubMed,Dores crônicas generalizadas no corpo
PubMed,Dores generalizadas
PubMed,Dormência da língua
PubMed,Dorsalgia
PubMed,Ectasia escleral total
PubMed,Edema agudo
PubMed,Edema da extremidade inferior
PubMed,Edema da medula espinhal
PubMed,Edema da úvula
PubMed,Edema de pitting
PubMed,Edema do pênis
PubMed,Edema do recém-nascido
PubMed,Edema do vestíbulo oral
PubMed,Edema dos órgãos genitais masculinos
PubMed,Edema dos tecidos moles orais
PubMed,Edema duro
PubMed,Edema gengival
PubMed,Edema gestacional sem hipertensão
PubMed,Edema na parte inferior da perna
PubMed,Edema periférico da retina
PubMed,Edema periorbital
PubMed,Edema retiniano localizado
PubMed,Edema subepidérmico
PubMed,Ejaculação dolorosa
PubMed,Emaciado
PubMed,Enurese
PubMed,Enurese diurna
PubMed,Enurese primária
PubMed,Enxaqueca
PubMed,Enxaqueca abdominal - sintoma
PubMed,Ereção peniana dolorosa
PubMed,Eritema anular familiar
PubMed,Eritema da pele
PubMed,Eritema escarlatiniforme
PubMed,Eritema fugaz
PubMed,Erupção cutânea meningocócica
PubMed,Erupção cutânea psoriasiforme
PubMed,Erupção cutânea pustular (anormalidade morfológica)
PubMed,Erupção da membrana mucosa
PubMed,Erupção juvenil na primavera
PubMed,Erupção macular
PubMed,Escara bolhosa
PubMed,Escarro com manchas de sangue
PubMed,Escotoma cintilante
PubMed,Escotoma em anel
PubMed,Escotoma quadrático
PubMed,Esforço incomitante
PubMed,Espasmo
PubMed,Espasmo carpopedal
PubMed,Espasmo da bexiga
PubMed,Espasmo do olhar conjugado
PubMed,Espasmo doloroso da bexiga
PubMed,Espasmo gástrico
PubMed,Espasmo hipertensivo do esfíncter cardíaco
PubMed,Espasmo intestinal
PubMed,Espasmo local
PubMed,Espasticidade
PubMed,Espermatofraxia
PubMed,Espermatosquise
PubMed,Espessamento da bainha do tendão
PubMed,Espessamento da pele
PubMed,Estado poliúrico
PubMed,Estreitamento da fissura palpebral
PubMed,Estridor
PubMed,Exaustão
PubMed,Exaustão pós-poliomielite
PubMed,Exoftalmia devido a edema ou congestão orbital
PubMed,"Extensas erosões congênitas, vesículas e cicatrizes reticuladas"
PubMed,Fadiga associada à AIDS
PubMed,Falha no desenvolvimento fisiológico
PubMed,Falha no ganho de peso
PubMed,Falta de concentração na menopausa
PubMed,Fasciculação muscular
PubMed,Febre intermitente
PubMed,Fezes soltas
PubMed,Fígado grande
PubMed,Fio de prata nas artérias da retina
PubMed,Flacidez
PubMed,Flacidez do músculo do membro inferior
PubMed,Flacidez do músculo do membro superior
PubMed,Flacidez muscular
PubMed,"Flatulência, eructação e dor de gases"
PubMed,Fome
PubMed,Fraldas
PubMed,Fraldas (e fraldas neonatais)
PubMed,Fraqueza do quadríceps
PubMed,Fraqueza dos músculos da face
PubMed,Fraqueza facial superior
PubMed,Fraqueza muscular da panturrilha
PubMed,Frouxidão articular
PubMed,Frouxidão da articulação do cotovelo
PubMed,Frouxidão da articulação do ombro
PubMed,Frouxidão da articulação do pé
PubMed,Frouxidão da articulação do polegar
PubMed,Frouxidão da articulação do punho
PubMed,Frouxidão da articulação dos dedos
PubMed,Frouxidão da articulação metatarsofalângica
PubMed,Frouxidão da articulação sacroilíaca
PubMed,Frouxidão da articulação subtalar
PubMed,Gagueira adquirida
PubMed,Gangrena generalizada do pé diabético
PubMed,Gengivas doloridas
PubMed,Glossodinia
PubMed,Glossopirose
PubMed,Gosto desagradável na boca
PubMed,Gosto ruim na boca
PubMed,Grimaces
PubMed,Grito da síndrome de Down
PubMed,Hematocolpometra
PubMed,Hematoma paroxístico do dedo
PubMed,Hematúria dolorosa
PubMed,Hemibalismo
PubMed,Hemiplegia
PubMed,Hemorragia umbilical
PubMed,Hepatoesplenomegalia
PubMed,Hepatomegalia associada à AIDS
PubMed,Hidropisia endolinfática secundária
PubMed,Hipercapnia
PubMed,Hiperêmese gravídica
PubMed,Hiperestesia
PubMed,Hiperoxia
PubMed,Hiperqueratose subungueal
PubMed,Hipersensibilidade no local da injeção
PubMed,Hipersônia
PubMed,Hipersonia com apneia do sono
PubMed,Hipersônia do humor
PubMed,Hipertensão paroxística
PubMed,Hipertonicidade muscular
PubMed,Hipocapnia
PubMed,Hipoestesia da língua
PubMed,Hipoestesia oral
PubMed,Hipomobilidade musculoesquelética
PubMed,Hipoproteinemia
PubMed,Hipotonia congênita benigna
PubMed,Icterícia (não de recém-nascido)
PubMed,Icterícia (não de recém-nascido)
PubMed,Icterícia fisiológica do recém-nascido
PubMed,Icterícia hepatocelular
PubMed,Imobilidade musculoesquelética
PubMed,Impactação de bolus
PubMed,Inanição
PubMed,Inchaço da estrutura do olho
PubMed,Inchaço da estrutura do ouvido
PubMed,Inchaço da estrutura musculoesquelética
PubMed,Inchaço da estrutura urológica
PubMed,Inchaço da pele
PubMed,Inchaço da vagina
PubMed,Inchaço das articulações
PubMed,Inchaço do membro
PubMed,Inchaço doloroso da articulação
PubMed,Inchaço pré-menstrual
PubMed,"Inchaço superficial local, massa ou nódulo"
PubMed,"Inchaço, massa e caroço no peito"
PubMed,"Inchaço, massa ou nódulo no peito "
PubMed,"Inchaço, massa ou nódulo superficial local"
PubMed,Incontinência dupla
PubMed,Incontinência fecal congênita
PubMed,Incontinência fecal neuromiopática
PubMed,Incontinência mista
PubMed,Incontinência urinária de urgência
PubMed,Incontinência urinária total
PubMed,Incoordenação neuromuscular ureteral
PubMed,Incoordenação uterina de primeiro grau
PubMed,Indigestão
PubMed,Inflamação da vulva
PubMed,Inflamação difusa
PubMed,Inflamação gomatosa (anormalidade morfológica)
PubMed,Ingurgitamento das mamas
PubMed,Ingurgitamento vascular da mama
PubMed,Insônia na menopausa
PubMed,Intestinos: acidente ocasional
PubMed,Intolerância à sacarose
PubMed,Intolerância alimentar
PubMed,Irritação da pele
PubMed,Irritação do pênis
PubMed,Irritação meníngea
PubMed,Irritação perineal
PubMed,Irritação vulvar
PubMed,Junção retossigmoide hiperativa
PubMed,Lábio dolorido
PubMed,Lábios rachados
PubMed,Lentidão e baixa capacidade de resposta
PubMed,Lesão do pênis
PubMed,Lesões nos lábios
PubMed,Leucoplasia dos órgãos genitais femininos
PubMed,Leucoplasia dos órgãos genitais masculinos
PubMed,Leucorréia não especificada
PubMed,Linha de Stahli
PubMed,Linhas de Beau
PubMed,Mácula (anormalidade morfológica)
PubMed,maculopatia diabética do olho direito
PubMed,maculopatia diabética no olho esquerdo
PubMed,Mal-estar associado à AIDS
PubMed,Mancha micropapular
PubMed,Manchas de Bitot
PubMed,Manchas na pele
PubMed,Marcha anormal
PubMed,Marcha cambaleante
PubMed,Massa da cavidade oral
PubMed,Massa da estrutura cardiovascular
PubMed,Massa da estrutura digestiva
PubMed,Massa da estrutura do ouvido
PubMed,Massa da estrutura do sistema urinário
PubMed,Massa da estrutura genital feminina
PubMed,Massa da estrutura genital masculina
PubMed,Massa da estrutura musculoesquelética
PubMed,Massa da estrutura ocular
PubMed,Massa da estrutura respiratória
PubMed,Massa da estrutura urogenital
PubMed,Massa da região do corpo
PubMed,Massa de anexos uterinos
PubMed,Massa de estrutura endócrina
PubMed,Massa de estrutura linforeticular
PubMed,Massa do membro inferior
PubMed,Massa do tronco
PubMed,Massa na virilha
PubMed,Massa testicular inflamatória
PubMed,Melasma gravídico
PubMed,Menouria
PubMed,Metatarsalgia
PubMed,Micropsia
PubMed,Mioclonia oculopalatal
PubMed,Mioclonia palatal
PubMed,Mioquimia
PubMed,Monoparesia
PubMed,Monoparesia - braço
PubMed,Monoplegia transitória
PubMed,Motilidade anormal do intestino grosso
PubMed,Movimento anormal da mandíbula
PubMed,Movimento atetóide
PubMed,Movimento coreiforme oral
PubMed,Movimento diafragmático paradoxal
PubMed,Movimento involuntário
PubMed,Movimentos anormais da cabeça
PubMed,Mucosa eritematosa
PubMed,Mudança na aparência das unhas
PubMed,Músculo esquelético sensível
PubMed,Músculos flácidos
PubMed,Narina dolorida
PubMed,Náusea e vômito
PubMed,Náusea pós-operatória
PubMed,"Náusea, vômito e diarreia"
PubMed,Neuralgia cutânea femoral lateral
PubMed,Neuralgia do nervo genitofemoral
PubMed,Neuralgia do nervo ilioinguinal
PubMed,Neuralgia do obturador
PubMed,Neuralgia femoral
PubMed,Neuralgia intercostal
PubMed,Neuralgia periférica segmentar
PubMed,Neuralgia reminiscente
PubMed,Neuralgia testicular
PubMed,Nistagmo aumentado quando a fixação é removida
PubMed,Nistagmo de Bruns
PubMed,Nistagmo de posicionamento corporal
PubMed,Nistagmo de posicionamento do pescoço
PubMed,Nistagmo de vertigem posicional paroxística benigna
PubMed,Nistagmo elíptico
PubMed,Nistagmo espontâneo
PubMed,Nistagmo inalterado quando a fixação é removida
PubMed,Nistagmo inibido quando a fixação é removida
PubMed,Nistagmo irregular
PubMed,Nistagmo misto
PubMed,Nistagmo parético do olhar
PubMed,"Nistagmo posicional, direção variável dos olhos"
PubMed,Nistagmo postural
PubMed,Nistagmo produzido pela rotação do pescoço
PubMed,Nistagmo uniocular
PubMed,Nistagmo voluntário
PubMed,Nível de deficiência: baixa visão em ambos os olhos
PubMed,Nódulo de Osler
PubMed,Nódulo linfático sensível
PubMed,Nódulo na coxa
PubMed,Nódulo no tendão
PubMed,Nódulo perianal
PubMed,Nódulo perineal
PubMed,O rosto fica vermelho
PubMed,O sintoma ocorre no período pré-menstrual
PubMed,Odor desagradável dos órgãos genitais
PubMed,Odor desagradável na axila
PubMed,Odor vaginal anormal
PubMed,Oftalmoplegia
PubMed,Oftalmoplegia interna
PubMed,Olhar pós-básico
PubMed,Olho cego doloroso
PubMed,Olho lacrimejante
PubMed,Olho seco
PubMed,Olho vermelho
PubMed,Olhos lacrimejantes
PubMed,Olhos secos
PubMed,Oligúria
PubMed,Oligúria e anúria
PubMed,Onicomadese
PubMed,Opistótono
PubMed,Os olhos se cansam facilmente
PubMed,Outras condições pruriginosas especificadas
PubMed,Outras disfunções simbólicas
PubMed,Outras disfunções simbólicas não especificadas
PubMed,Outras dores crônicas
PubMed,Outras dores no peito
PubMed,Outras formas de angina pectoris
PubMed,Outro distúrbio visual especificado
PubMed,Outro estágio do sono ou disfunção da excitação
PubMed,Outros distúrbios da fala
PubMed,Outros sinais cerebrais anormais do recém-nascido
PubMed,Outros sinais e sintomas na mama
PubMed,Outros sintomas gerais
PubMed,Outros sintomas gerais
PubMed,Outros sintomas nas costas
PubMed,Padrão de febre - achado
PubMed,Paracusia
PubMed,Parada espermatogênica completa
PubMed,Parada espermatogênica incompleta
PubMed,Paralisia do palato
PubMed,Paralisia dos tambores
PubMed,Paralisia flácida
PubMed,Paraparesia
PubMed,Paraparesia cerebral
PubMed,Paraparesia espástica
PubMed,Paraparesia espinhal
PubMed,Paraparesia progressiva crônica
PubMed,Paraplegia flácida
PubMed,Paresia de Todd
PubMed,Paresia diafragmática
PubMed,Paresia facial unilateral
PubMed,Parestesia
PubMed,Parestesia da língua
PubMed,Parestesia oral
PubMed,Peau d'orange na superfície da mama
PubMed,Pele dolorida
PubMed,Pele macerada
PubMed,Pele seca
PubMed,Perda auditiva central bilateral
PubMed,Perda de apetite - anorexia
PubMed,Perda de memória
PubMed,Perda de voz
PubMed,Perda visual não qualificada de ambos os olhos
PubMed,Perda visual não qualificada de um olho
PubMed,Perda visual súbita
PubMed,"Perda visual, ambos os olhos não qualificados"
PubMed,Peristalse ausente
PubMed,Pernas doloridas e dedos dos pés em movimento
PubMed,Perturbação da consciência
PubMed,Pescoço torto/torcicolo
PubMed,"Peso, falha no ganho, bebê"
PubMed,Petéquias faciais neonatais
PubMed,Pigmentação de melanina na córnea
PubMed,Pigmentação por drogas
PubMed,Pigmentação sanguínea da córnea
PubMed,Pigmentações e depósitos na córnea
PubMed,Pleurotótono
PubMed,Polegar estalando (situação)
PubMed,Polialgia
PubMed,Polimialgia
PubMed,Prejuízo do equilíbrio
PubMed,Problema de coordenação
PubMed,Problema de deglutição
PubMed,Problema na menopausa
PubMed,Problemas de equilíbrio
PubMed,Prostatorréia
PubMed,Prurido ani
PubMed,Prurido colinérgico
PubMed,Prurido da gravidez
PubMed,Prurido da vagina
PubMed,Prurido da vulva
PubMed,Prurido do pênis
PubMed,Prurido dos órgãos genitais
PubMed,Prurido dos órgãos genitais masculinos
PubMed,Prurido escrotal
PubMed,Prurido na pele
PubMed,Pseudoatetose
PubMed,Pseudocárdio estrelado
PubMed,Pseudooftalmoplegia
PubMed,Pulso bigeminal
PubMed,Pulso lábil
PubMed,Pulsus trigeminus
PubMed,Púrpura crioglobulinêmica
PubMed,Quase síncope
PubMed,Queimação no escroto
PubMed,Rachaduras nas unhas
PubMed,Rachaduras nas unhas lamelares
PubMed,Ranhuras nas unhas
PubMed,Reação à punção lombar ou espinhal
PubMed,Reação actínica
PubMed,Reação ao despertar súbito
PubMed,Reação persistente à luz
PubMed,Recrutamento de loudness
PubMed,Reflexo anormal
PubMed,Reflexo extensor cruzado
PubMed,Respiração anormal
PubMed,Respiração contida
PubMed,Respiração grunhida
PubMed,Respiração intermitente
PubMed,Retardo da pálpebra
PubMed,retinopatia
PubMed,retinopatia diabética de fundo de olho esquerdo
PubMed,retinopatia diabética de fundo do olho direito
PubMed,retinopatia diabética pré-proliferativa do olho direito
PubMed,retinopatia diabética pré-proliferativa do olho esquerdo
PubMed,retinopatia diabética proliferativa do olho direito
PubMed,retinopatia diabética proliferativa do olho esquerdo
PubMed,retinopatia não-referível
PubMed,retinopatia referível
PubMed,Retração e/ou atraso da pálpebra
PubMed,Rigidez da articulação subtalar
PubMed,Rigidez da articulação temporomandibular
PubMed,Rigidez da coluna cervical
PubMed,Rigidez das articulações
PubMed,Rigidez na articulação sacroilíaca
PubMed,Rinite devido a agente bloqueador alfa-adrenérgico
PubMed,Rinite purulenta
PubMed,Rinorréia posterior
PubMed,Risus sardonicus
PubMed,Rítides circunferenciais
PubMed,Ritmo de sono irregular
PubMed,Ritmo de tique-taque
PubMed,Rolagem de pílulas
PubMed,Sacrocoxalgia
PubMed,Sangramento no ouvido
PubMed,Sangramento umbilical
PubMed,Secura da vulva
PubMed,Secura vulvovaginal
PubMed,Sensação de ouvido entupido
PubMed,Sensação de pressão no ouvido
PubMed,Sensação de queimação na vulva
PubMed,Sensibilidade da estrutura da cavidade oral
PubMed,Sensibilidade da estrutura linforeticular
PubMed,Sensibilidade da genitália masculina
PubMed,Sensibilidade dos dentes ao calor
PubMed,Sensibilidade dos dentes ao frio
PubMed,Sensibilidade generalizada na mama
PubMed,Sensibilidade generalizada no pavilhão auricular
PubMed,Sensibilidade infrapatelar
PubMed,Sensibilidade localizada na mama
PubMed,Sensibilidade mamária pré-menstrual
PubMed,Sensibilidade na tireoide
PubMed,Sensibilidade retardada ao frio
PubMed,Sialectasia
PubMed,Sialectasia sublingual
PubMed,Sinais de nistagmo
PubMed,Sinal clínico relacionado à gravidez
PubMed,Sinal de Courvoisier
PubMed,Sinal de Cullen
PubMed,Sinal de Popeye
PubMed,Sinal de Rosenbach
PubMed,Sinal ou sintoma de abstinência
PubMed,Sincinesia
PubMed,Síncope de esforço
PubMed,Síncope e colapso
PubMed,Sintoma da menopausa
PubMed,Sintoma de anorexia
PubMed,Sintoma de corrimento mamilar
PubMed,Sintoma de diarréia
PubMed,Sintoma de dor de garganta
PubMed,Sintoma de indigestão
PubMed,Sintoma de movimento involuntário
PubMed,Sintoma de perda de memória
PubMed,Sintoma de surdez
PubMed,Sintoma de vômito
PubMed,Sintoma gastrointestinal
PubMed,Sintoma neurológico
PubMed,Sintoma pancreático
PubMed,Sintoma pré-menstrual
PubMed,Sintoma vasovagal
PubMed,Sintomas bucais
PubMed,Sintomas de deglutição
PubMed,Sintomas de deglutição) ou (disfagia)
PubMed,Sintomas de indigestão
PubMed,Sintomas do sistema nervoso
PubMed,Sintomas do sistema urinário
PubMed,Sintomas geniturinários
PubMed,Sintomas visuais
PubMed,Sofrimento fetal - em trabalho de parto
PubMed,Sofrimento fetal - pré-parto
PubMed,Sonolência diurna excessiva pós-viral
PubMed,"Sopro cardíaco, não diagnosticado"
PubMed,Subinvolução da mama
PubMed,Subinvolução da mama no pós-parto
PubMed,"Subinvolução da mama, pós-parto"
PubMed,Subsulto tendinoso
PubMed,Suflê fetal
PubMed,Suor excessivo
PubMed,Tecido de granulação anormal
PubMed,Tem olhos lacrimejantes
PubMed,Tenalgia
PubMed,Tetraplegia flácida
PubMed,Tez anormal
PubMed,Tez pálida
PubMed,Tique diafragmático
PubMed,Tontura multissensorial
PubMed,Tonturas e vertigens
PubMed,Tônus muscular atônico
PubMed,Tônus muscular fraco
PubMed,Torcicolo espasmódico
PubMed,Torcicolo intermitente
PubMed,Tosse de fumante
PubMed,Travamento do joelho
PubMed,Tremor contínuo
PubMed,Tremor crônico
PubMed,Tremor em repouso
PubMed,Tremor estático
PubMed,Tremor fino
PubMed,Tremor grosseiro
PubMed,Tremor intenso
PubMed,Tremor intermitente
PubMed,Tremor muscular
PubMed,Tremor ortostático
PubMed,Tremor parkinsoniano
PubMed,Tremor passivo
PubMed,Tremor persistente
PubMed,Tremor tireotóxico
PubMed,Tremores
PubMed,Tremores anais
PubMed,Unha rachada
PubMed,Unha rachada transversal
PubMed,Unhas finas
PubMed,Uremia extra-renal
PubMed,Uremia extrarrenal
PubMed,Urticária colinérgica persistente
PubMed,Urticária de complexo imune
PubMed,Urticária geográfica
PubMed,Urticária menstrual
PubMed,Urticária persistente
PubMed,Urticária reflexa
PubMed,Urticária reflexa ao frio
PubMed,Varizes genitais no puerpério
PubMed,Varizes vaginais no puerpério
PubMed,Varizes vulvares na gravidez
PubMed,Vascularização da córnea
PubMed,Vasculite urticariforme
PubMed,Vaso deferente sensível
PubMed,Vazamento de fluido fecal
PubMed,Veias proeminentes nas pernas - sintoma
PubMed,Veias umbilicais distendidas
PubMed,Verrugas no pênis
PubMed,Vertigem associada a convulsões
PubMed,Vertigem do tronco cerebral
PubMed,Vertigem induzida por drogas
PubMed,Vertigem precedida de traumatismo craniano
PubMed,Vertigem sincopal
PubMed,Vertigem subjetiva
PubMed,Virilização
PubMed,Vômito agudo
PubMed,Vômito após cirurgia do trato gastrointestinal
PubMed,Vômito crônico
PubMed,Vômito em recém-nascido
PubMed,Vômito induzido por drogas
PubMed,Vômito intermitente
PubMed,Vômito pós-operatório
PubMed,Vômito projétil
PubMed,Vômitos incontroláveis
PubMed,Xerostomia induzida por medicamentos
PubMed,Zumbido de Leudet
PubMed,Zumbido de origem vascular
Sangramento,Bolhas de sangue na boca
Sangramento,Coágulo sanguíneo (flebite)
Sangramento,dificuldade em respirar
Sangramento,dor no braço esquerdo
Sangramento,dor ou desconforto no centro do peito
Sangramento,Expectoração de sangue (hemoptise)
Sangramento,Hemorragia gastrointestinal
Sangramento,Hemorragia nasal (Epistaxe)
Sangramento,Linfonodos inchados
Sangramento,Petéquias (uma erupção cutânea em forma de pequenos pontos vermelhos)
Sangramento,"Pica (ou alotriofagia) (ingestão de gelo, terra ou argila) "
Sangramento,Sangramento vaginal no final da gestação
Sangramento,Sangramento vaginal no final da gravidez
Sangramento,Sangramento vaginal no início da gestação
Sangramento,Sangramento vaginal no início da gravidez
Sangramento,Sangue no sêmen (hematospermia)
Sangramento,sensação de desmaio
