Doenca,Classe
Doenças Classificadas,Osteoporose em doenças classificadas em outra parte
Doenças Classificadas,Parkinsonismo em doenças classificadas em outra parte
Doenças Classificadas,Pericardite em doenças classificadas em outra parte
Doenças Classificadas,Pneumonia em doenças classificadas em outra parte
Doenças Classificadas,Polineuropatia em doenças classificadas em outra parte
Escadas,Queda em ou de escadas de mão
Escadas,Queda em ou de escadas ou degraus
Corrosões,Queimaduras e corrosões de múltiplas regiões do corpo
Raízes,Transtornos das raízes e dos plexos nervosos
Olho,Traumatismo do olho e da órbita ocular
Trato Geniturinário,Infecções do trato geniturinário na gravidez
Doenças Inflamatórias,Seqüelas de doenças inflamatórias do sistema nervoso central
Submersão,"Afogamento e submersão, intenção não determinada"
Pistola,"Disparo de pistola, intenção não determinada"
Coluna Lombar,Fratura da coluna lombar e da pelve
Não Classificada,Distúrbios da fala não classificados em outra parte
Outras Substâncias,Efeito tóxico de outras substâncias e as não especificadas
Outras Substâncias,Efeito tóxico de outras substâncias inorgânicas
Observação,Exame e observação por outras razões
Envolvendo,Ferimentos envolvendo múltiplas regiões do corpo
Envolvendo,Fraturas envolvendo múltiplas regiões do corpo
Reimplante,Complicações próprias de reimplante e amputação
Sinóvias,Outros transtornos das sinóvias e dos tendões
Outros Transtornos,Hiperparatireoidismo e outros transtornos da glândula paratireóide
Outros Transtornos,Hipofunção e outros transtornos da hipófise
Traquéia,Malformações congênitas da traquéia e dos brônquios
Quedas,Outras quedas de um nível a outro
Aparelho Urinário,Traumatismo do aparelho urinário e de órgãos pélvicos
Veículo Motor,"Impacto de um veículo a motor, intenção não determinada"
Relativa,Circunstância relativa às condições de trabalho
Tipo Celular,Leucemia de tipo celular não especificado
OutrosTranstornos,Miastenia gravis e outros transtornos neuromusculares
Obstétrica,Morte obstétrica de causa não especificada
Benigna,Neoplasia benigna de glândulas salivares maiores
Benigna,Neoplasia benigna do olho e anexos
Maligna,Neoplasia maligna da base da língua
Maligna,Neoplasia maligna do assoalho da boca
Maligna,Neoplasia maligna do colo do útero
Maligna,Neoplasia maligna do corpo do útero
Maligna,Neoplasia maligna do olho e anexos
Maligna,Neoplasia maligna dos seios da face
Maligna,Neoplasia maligna secundária de outras localizações
Maligna,"Neoplasia maligna, sem especificação de localização"
Artérias,Outras afecções das artérias e arteríolas
Localizadas,Outras afecções localizadas do tecido conjuntivo
Originadas,Outras afecções originadas no período perinatal
Sistêmicas,Outras afecções sistêmicas do tecido conjuntivo
Artropatias,Outras artropatias por deposição de cristais
Doenças,Outras doenças das vias aéreas superiores
Doenças,Outras doenças dos tecidos dentários duros
Transtornos,Outros transtornos da secreção pancreática interna
Transtornos,Outros transtornos da trompa de Eustáquio
Transtornos,Outros transtornos do olho e anexos
Transtornos,Outros transtornos do sistema nervoso central
Transtornos,Outros transtornos do sistema nervoso periférico
Relacionados,Problemas relacionados com o ambiente físico
Relacionados,Problemas relacionados com o meio social
Outro Tipo,Queda de outro tipo de mobília
Envolvendo,Queda envolvendo uma cadeira de rodas
Corrosão,Queimadura e corrosão do trato respiratório
Traumatismos,Seqüelas de traumatismos do membro inferior
Traumatismos,Seqüelas de traumatismos do membro superior
Morte Súbita,Síndrome da morte súbita na infância
Gravidez,Supervisão de gravidez de alto risco
Menopausa,Transtornos da menopausa e da perimenopausa
Refração,Transtornos da refração e da acomodação
Tônus Muscular,Transtornos do tônus muscular do recém-nascido
Hábitos,Transtornos dos hábitos e dos impulsos
Nervos Periféricos,Traumatismo de nervos periféricos da perna
Vasos Sangüíneos,Traumatismo de vasos sangüíneos da perna
Vasos Sangüíneos,Traumatismo de vasos sangüíneos do tórax
Localização,Úlcera péptica de localização não especificada
Furúnculo,"Abscesso cutâneo, furúnculo e antraz"
Submersão,Afogamento e submersão em piscina
Submersão,Afogamento e submersão não especificados
Múltiplos,Agente resistente a múltiplos antibióticos
Outros Meios,Agressão por meios não especificados
Outros Meios,Agressão por outros meios especificados
Deficiência,Anemia por deficiência de ferro
Deficiência,Anemia por deficiência de folato
Dissecção,Aneurisma e dissecção da aorta
Ossificação,Calcificação e ossificação do músculo
In Situ,Carcinoma in situ da pele
Opacidades,Cicatrizes e opacidades da córnea
10ª Revisão,CID 10ª Revisão não disponível
Cálcio,Deficiência de cálcio da dieta
Selênio,Deficiência de selênio da dieta
Zinco,Deficiência de zinco da dieta
Doença,Demência na doença de Alzheimer
Contato,Dermatite de contato não especificada
Defeitos,Descolamentos e defeitos da retina
Metabolismo,Distúrbios do metabolismo de glicoproteínas
Metabolismo,Distúrbios do metabolismo de minerais
Metabolismo,Distúrbios do metabolismo do glicosaminoglicano
Órgãos,Doadores de órgãos e tecidos
Crohn,Doença de Crohn [enterite regional]
Crônica,Doença isquêmica crônica do coração
Glândula,Doenças da glândula de Bartholin
Valva,Doenças reumáticas da valva aórtica
Valva,Doenças reumáticas da valva mitral
Valva,Doenças reumáticas da valva tricúspide
Sexualmente Transmitidas,"Doenças sexualmente transmitidas, não especificadas"
Antibióticos,Efeitos adversos de antibióticos sistêmicos
Vacinas,Efeitos adversos de vacinas bacterianas
Outras Causas,Efeitos de outras causas externas
Não Especificados,Efeitos não especificados de radiação
Valva,Endocardite de valva não especificada
Teste,Exame ou teste de gravidez
Caldeira,Explosão ou ruptura de caldeira
Fatores,Exposição a fatores não especificados
Trato Genital,Fístulas do trato genital feminino
Perna,"Fratura da perna, incluindo tornozelo"
Necrose,Geladura com necrose de tecidos
Doença de Hansen,Hanseníase [doença de Hansen] [lepra]
Início,Hemorragia do início da gravidez
Neoplasia,História familiar de neoplasia maligna
Neoplasia,História pessoal de neoplasia maligna
Associadas,Infecções mamárias associadas ao parto
Esmagamento,Lesão por esmagamento do antebraço
Esmagamento,Lesões por esmagamento da cabeça
Esmagamento,Lesões por esmagamento do pescoço
Substâncias Biológicas,Medicamentos ou substâncias biológicas contaminados
Outras,Necessidade de outras medidas profiláticas
Benigna,Neoplasia benigna da glândula tireóide
Benigna,Neoplasia benigna de tecido mesotelial
Benigna,Neoplasia benigna dos órgãos urinários
Maligna,Neoplasia maligna da glândula parótida
Maligna,Neoplasia maligna da glândula tireóide
Maligna,Neoplasia maligna da vesícula biliar
Maligna,Neoplasia maligna do intestino delgado
Maligna,Neoplasia maligna do seio piriforme
Embolia,Outra embolia e trombose venosas
Causadas,Outras doenças causadas por Clamídias
Vasos Pulmonares,Outras doenças dos vasos pulmonares
Doenças Inflamatórias,Outras doenças inflamatórias do fígado
Doenças Intestinais,Outras doenças intestinais por protozoários
Doenças Reumáticas,Outras doenças reumáticas do coração
Quedas,Outras quedas no mesmo nível
Síndromes,Outras síndromes de maus tratos
Achados Anormais,Outros achados anormais na urina
Seguimento,Outros cuidados de seguimento ortopédico
Temperatura,Outros efeitos da temperatura reduzida
Anormais,Outros produtos anormais da concepção
Especificados,Outros riscos especificados à respiração
Transtornos,Outros transtornos da glândula supra-renal
Transtornos,Outros transtornos do movimento binocular
Transtornos,Outros transtornos do ouvido externo
Transtornos,Outros transtornos do ouvido interno
Transtornos,Outros transtornos do trato urinário
Transtornos,Outros transtornos dos glóbulos brancos
Haemophilus,Pneumonia devida a Haemophilus infuenzae
Streptococcus,Pneumonia devida a Streptococcus pneumoniae
Microorganismo,Pneumonia por microorganismo não especificada
Nodosa,Poliarterite nodosa e afecções correlatas
Trato Genital,Pólipo do trato genital feminino
Alimentação,Problemas de alimentação do recém-nascido
Outras Afecções,Púrpura e outras afecções hemorrágicas
Desenvolvimento,Retardo do desenvolvimento fisiológico normal
Não Especificados,Riscos não especificados à respiração
Acidentes,Seqüelas de acidentes de transporte
Outras Causas,Seqüelas de outras causas externas
Traumatismo,Seqüelas de traumatismo da cabeça
Outros Ruídos,Sopros e outros ruídos cardíacos
Outros,Transtornos de outros nervos cranianos
Misto,Transtornos específicos misto do desenvolvimento
Agudos,Transtornos psicóticos agudos e transitórios
Esmagamento,Traumatismo por esmagamento da perna
Obstrutiva,Uropatia obstrutiva e por refluxo
Atróficas,Afecções atróficas da pele
Hipertróficas,Afecções hipertróficas da pele
Traumática,Amputação traumática da perna
Microftalmia,"Anoftalmia, microftalmia e macroftalmia"
Psoriásicas,Artropatias psoriásicas e enteropáticas
Exame,Assistência e exame pós-natal
Voluntária,Auto-intoxicação voluntária por álcool
Nefrética,Cólica nefrética não especificada
Entre Duas,Colisão entre duas pessoas
Artrose,Coxartrose [artrose do quadril]
Abscesso,Cromomicose e abscesso feomicótico
Ácido,Deficiência de ácido ascórbico
Niacina,Deficiência de niacina [pelagra]
Congênitas,Deformidades congênitas do pé
Inclusos,Dentes inclusos e impactados
Alérgicas,Dermatites alérgicas de contato
Protéico-calórica,Desnutrição protéico-calórica não especificada
Mellitus,Diabetes mellitus na gravidez
Mellitus,Diabetes mellitus não especificado
Alcoólica,Doença alcoólica do fígado
Refluxo,Doença de refluxo gastroesofágico
Origem,Embolia de origem obstétrica
Trombose,Embolia e trombose arteriais
Viral,"Encefalite viral, não especificada"
Mielite,"Encefalite, mielite e encefalomielite"
Aguda,Endocardite aguda e subaguda
Polimorfo,Eritema polimorfo (eritema multiforme)
Tifóide,Febres tifóide e paratifóide
Cirrose,Fibrose e cirrose hepáticas
Doenças,Gengivite e doenças periodontais
artrose,Gonartrose [artrose do joelho]
Recidivante,Hematúria recidivante e persistente
Viral,Hepatite viral não especificada
Antibióticos,Intoxicação por antibióticos sistêmicos
Laringotraqueíte,Laringite e laringotraqueíte crônicas
Traqueíte,Laringite e traqueíte agudas
Venéreo,Linfogranuloma (venéreo) por clamídia
Maligno,Melanoma maligno da pele
Aguda,Nasofaringite aguda [resfriado comum]
Benigna,Neoplasia benigna da mama
Benigna,Neoplasia benigna das meninges
Benigna,Neoplasia benigna do ovário
Maligna,Neoplasia maligna da amígdala
Maligna,Neoplasia maligna da bexiga
Maligna,Neoplasia maligna da gengiva
Maligna,Neoplasia maligna da hipofaringe
Maligna,Neoplasia maligna da laringe
Maligna,Neoplasia maligna da mama
Maligna,Neoplasia maligna da nasofaringe
Maligna,Neoplasia maligna da orofaringe
Maligna,Neoplasia maligna da placenta
Maligna,Neoplasia maligna da próstata
Maligna,Neoplasia maligna da traquéia
Maligna,Neoplasia maligna da vagina
Maligna,Neoplasia maligna da vulva
Maligna,Neoplasia maligna das meninges
Maligna,Neoplasia maligna do cólon
Maligna,Neoplasia maligna do encéfalo
Maligna,Neoplasia maligna do esôfago
Maligna,Neoplasia maligna do estômago
Maligna,Neoplasia maligna do lábio
Maligna,Neoplasia maligna do ovário
Maligna,Neoplasia maligna do palato
Maligna,Neoplasia maligna do pâncreas
Maligna,Neoplasia maligna do pênis
Maligna,Neoplasia maligna do reto
Maligna,Neoplasia maligna do timo
Maligna,Neoplasia maligna dos testículos
Maligna,Neoplasia maligna dos ureteres
Hereditária,Neuropatia hereditária e idiopática
Tecidos,Órgãos e tecidos transplantados
Com Fratura,Osteoporose com fratura patológica
Sem Fratura,Osteoporose sem fratura patológica
Doença,Outras doenças da mama
Doença,Outras doenças do apêndice
Doença,Outras doenças do esôfago
Doença,Outras doenças do fígado
Doença,Outras doenças do intestino
Doença,Outras doenças do pâncreas
Doença,Outras doenças do pericárdio
Doenças,Outras doenças dos maxilares
Formas,Outras formas de apendicite
Formas,Outras formas de hiperalimentação
Infecções,Outras infecções por espiroquetas
Infecções,Outras infecções por Salmonella
Infestações,Outras infestações por cestóides
Infestações,Outras infestações por trematódeos
Inflamações da Pálpebra,Outras inflamações da pálpebra
Defeitos,Outros defeitos da coagulação
Distúrbios,Outros distúrbios da coordenação
Tipos,Outros tipos de aborto
Tipos,Outros tipos de tétano
Transtornos Articulares,Outros transtornos articulares específicos
Transtorno,Outros transtornos da bexiga
Transtorno,Outros transtornos da conjuntiva
Transtorno,Outros transtornos da córnea
Transtorno,Outros transtornos da coróide
Transtorno,Outros transtornos da pálpebra
Transtorno,Outros transtornos da pigmentação
Transtorno,Outros transtornos da retina
Transtorno,Outros transtornos da tireóide
Transtorno,Outros transtornos da uretra
Transtorno,Outros transtornos de condução
Transtorno,Outros transtornos do cristalino
Transtorno,Outros transtornos do encéfalo
Transtorno Hematológico,Outros transtornos hematológicos perinatais
Transtorno Psicótico,Outros transtornos psicóticos não-orgânicos
Não-orgânica,Psicose não-orgânica não especificada
Alérgica,Rinite alérgica e vasomotora
Bacteriana,Septicemia bacteriana do recém-nascido
Doenças,Seqüelas de doenças cerebrovasculares
Hanseníase,Seqüelas de hanseníase [lepra]
Estupor,"Sonolência, estupor e coma"
Recém-nascido,Tétano do recém-nascido [neonatal]
Rótula,Transtornos da rótula [patela]
Dissociativos,Transtornos dissociativos [de conversão]
Humor ,Transtornos do humor vítreo
doNervo Trigêmeo,Transtornos do nervo trigêmeo
Superficial,Traumatismo superficial da cabeça
Superficial,Traumatismo superficial da perna
Superficial,Traumatismo superficial do pescoço
Superficial,Traumatismo superficial do tórax
Macacos,Varíola dos macacos [Monkeypox]
Origem,Verrugas de origem viral
Erupção,Vítima de erupção vulcânica
Tempestade,Vítima de tempestade cataclísmica
Excessivos,Vômitos excessivos na gravidez
Screening,"Rastreamento (""screening"") pré-natal"
Aguda,Anemia aguda pós-hemorrágica
Hemolítica,Anemia hemolítica adquirida
Hipoglicêmico,Coma hipoglicêmico não-diabético
Envolvendo,Cuidados envolvendo diálise
Não Especificada,Demência não especificada
Cardíaca,Doença cardíaca hipertensiva
Hepática,Doença hepática tóxica
Renal,Doença renal hipertensiva
Bilharziose,Esquistossomose [bilharziose] [Schistosomíase]
Recorrentes,Febres recorrentes [Borrelioses]
Viral,Hepatite viral crônica
Essencial,Hipertensão essencial (primária)
Comum,Imunodeficiência comum variável
Não-Hodgkin,Linfoma não-Hodgkin difuso
Não Especificada,Malária não especificada
Não Especificada,Micose não especificada
Túbulo-intersticial,Nefrite túbulo-intersticial aguda
Túbulo-intersticial,Nefrite túbulo-intersticial crônica
Lipomatosa,Neoplasia lipomatosa benigna
Média,Otite média não-supurativa
Artropatias,Outras artropatias especificadas
Vasculopatias,Outras vasculopatias necrotizantes
Único,Parto único espontâneo
Nefrítica,Síndrome nefrítica aguda
Nefrítica,Síndrome nefrítica crônica
Afetivo,Transtorno afetivo bipolar
Delirante,Transtorno delirante induzido
Depressivo,Transtorno depressivo recorrente
Delirantes,Transtornos delirantes persistentes
Traumatizado,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas
Traumatizado,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
Traumatizado,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas
Traumatizado,Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas
Traumatizado,Ocupante de um triciclo motorizado traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
Usado Principalmente em Áreas Industriais,Ocupante de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de transporte
Uso,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
Arma de Fogo,"Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada"
Traumatizado,Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas
Vesícula Biliar,"Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
Especificado,"Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
Traumatizado,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal
Traumatizado,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão
Traumatizado,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
Traumatizado,Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas
Traumatizado,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
Veículo a Motor,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Estimulantes,"Efeitos adversos de estimulantes do sistema nervoso central, não classificados em outra parte"
Traumatizado,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo a pedal
Traumatizado,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão
Traumatizado,Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal
Traumatizado,Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão
Material Proveniente,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal
Esfingolípides,Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides
Drogas,Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso autônomo
Outras Vacinas,Efeitos adversos de outras vacinas e substâncias biológicas e as não especificadas
Vias Aéreas Superiores,Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas
Traumatizado,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado
Ônibus,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal
Ônibus,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão
Traumatizado,Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado
Traumatizado,Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal
Traumatizado,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão
Vírus,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
Trissomias,"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte"
Transtornos,Outros transtornos do rim e do ureter não classificado em outra parte
Transtornos,Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
Avalanche,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre"
Material Proveniente,Achados anormais de material proveniente dos órgãos respiratórios e do tórax
Por Meio,Agressão por meio de disparo de arma de fogo de mão
Trato Urinário Inferior,Calculose do trato urinário inferior em doenças classificadas em outra parte
Investigações Especiais,Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado
Fatores de Risco,"História pessoal de fatores de risco, não classificados em outra parte"
Duradouras,Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
Traumatizado,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado
Aparelho Circulatório,Outros transtornos do aparelho circulatório em doenças classificadas em outra parte
Sistema Nervoso,Outros transtornos do sistema nervoso em doenças classificadas em outra parte
Não Especificados,Outros traumatismos e os não especificados do ombro e do braço
Não Especificados,Outros traumatismos e os não especificados do punho e da mão
Não Especificados,Outros traumatismos e os não especificados do quadril e da coxa
Não Especificados,Outros traumatismos e os não especificados do tornozelo e do pé
em Contato,Pessoas em contato com os serviços de saúde em outras circunstâncias
Outros Efeitos,Seqüelas de outros efeitos de causas externas e dos não especificados
Nervos,Traumatismos de nervos e da medula espinhal ao nível do tórax
Rastreamento,"Exame especial de rastreamento (""screening"") de outros transtornos e doenças"
Rotina,"Exame geral de rotina (""check up"") de uma subpopulação definida"
Exames,"Achados anormais, de exames para diagnóstico por imagem, da mama"
Exames,"Achados anormais, de exames para diagnóstico por imagem, do pulmão"
Outros,Agente resistente a outros antibióticos e a antibióticos não especificados
Por Meio de,Agressão por meio de impacto de um veículo a motor
In Situ,Carcinoma in situ de outras localizações e das não especificadas
In Situ,Carcinoma in situ do ouvido médio e do aparelho respiratório
Intoxicação,"Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada"
Assintomática,Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]
Fontes Luminosas Artificiais,Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta
Outras,Exposição a outras forças da natureza e às não especificadas
Múltiplas,Geladura de múltiplas partes do corpo e das não especificadas
Substâncias,Intoxicação por substâncias que atuam primariamente sobre o aparelho circulatório
Substâncias,Intoxicação por substâncias que atuam primariamente sobre o aparelho gastrointestinal
Coluna Vertebral,Malformações congênitas da coluna vertebral e dos ossos do tórax
Pálpebras,"Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita"
Sistema Osteomuscular,Malformações congênitas do sistema osteomuscular não classificadas em outra parte
Devido,Meningite devida a outras causas e a causas não especificadas
Benigna,Neoplasia benigna de outras localizações e de localizações não especificadas
Maligna,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
Mal Definidas,Outras causas mal definidas e as não especificadas de mortalidade
Deformidades Adquiridas,Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo
Regiões,Abscesso das regiões anal e retal
Bolhosas,Afecções bolhosas em doenças classificadas em outra parte
Pápulo-descamativas,Afecções pápulo-descamativas em doenças classificadas em outra parte
Unhas,Afecções das unhas em doenças classificadas em outra parte
Submersão,Afogamento e submersão em águas naturais
Por Meio,Agressão por meio de afogamento e submersão
Por Meio,"Agressão por meio de drogas, medicamentos e substâncias biológicas"
Por Meio,Agressão por meio de gases e vapores
Por Meio,Agressão por meio de material explosivo
Por Meio,Agressão por meio de projeção de um lugar elevado
Manuseio,Ajustamento e manuseio de dispositivo implantado
Traumática,Amputação traumática do cotovelo e do antebraço
Níveis,Anormalidades dos níveis de enzimas séricas
Juvenil,Artrite juvenil em doenças classificadas em outra parte
Outras,Artropatias em outras doenças classificadas em outra parte
Volume,Aumento de volume dos gânglios linfáticos
Exposição,"Auto-intoxicação por e exposição, intencional, a pesticidas"
Atrioventricular,Bloqueio atrioventricular e do ramo esquerdo
In Situ,Carcinoma in situ de outros órgãos digestivos
Relativas,Circunstâncias relativas a condições do modo de vida
Intravascular,Coagulação intravascular disseminada [síndrome de desfibrinação]
Ajustamento,Colocação e ajustamento de aparelhos de prótese externa
Ajustamento,Colocação e ajustamento de outros aparelhos
Cardiopatias,Complicações de cardiopatias e doenças cardíacas mal definidas
ar,Contato com ar e gases quentes
Espinhos,Contato com espinhos de plantas ou com folhas aguçadas
Serpentes,Contato com serpentes e lagartos venenosos
Exposição,Contato com e exposição a doenças transmissíveis
Faca,"Contato com faca, espada e punhal"
Material,"Contato com material explosivo, intenção não determinada"
Redução,Defeitos por redução de membro não especificado
Outras,Demência em outras doenças classificadas em outra parte
Pleural,Derrame pleural não classificado em outra parte
Afecções,Derrame pleural em afecções classificadas em outra parte
Hipertensivo,Distúrbio hipertensivo pré-existente com proteinúria superposta
Desenvolvimento,Distúrbios do desenvolvimento e da erupção dos dentes
Metabolismo,Distúrbios do metabolismo da porfirina e da bilirrubina
Metabolismo,Distúrbios do metabolismo de aminoácidos aromáticos
Metabolismo,Distúrbios do metabolismo de purina e pirimidina
Hemolítica,Doença hemolítica do feto e do recém-nascido
Hemorrágica,Doença hemorrágica do feto e do recém-nascido
Não Especificada,Doença não especificada devida a protozoários
Paget,Doença de Paget do osso (osteíte deformante)
Vírus Imunodeficiência Humana,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
Crônicas,Doenças crônicas das amígdalas e das adenóides
Vírus,"Doenças por vírus, de localização não especificada"
Pulmonar,"Edema pulmonar, não especificado de outra forma"
Contato,Efeito tóxico de contato com animais venenosos
Anestésicos,Efeitos adversos de anestésicos e gases terapêuticos
Pressão,Efeitos da pressão atmosférica e da pressão da água
Necrotizante,Enterocolite necrotizante do feto e do recém-nascido
Pulmonar,"Eosinofilia pulmonar, não classificada em outra parte"
Consulta,Exame médico e consulta com finalidades administrativas
Calor,Exposição a um calor excessivo de origem artificial
Combustão,Exposição a combustão de roupa de dormir
Corrente,Exposição a corrente elétrica não especificada
Frio,Exposição a um frio excessivo de origem artificial
Linhas,Exposição a linhas de transmissão de corrente elétrica
Ocupacional,Exposição ocupacional a fatores de risco
Outra,Exposição a outra corrente elétrica especificada
Rejeição,Falha e rejeição de órgãos e tecidos transplantados
Hemorrágica,Febre hemorrágica devida ao vírus do dengue
Origem,Febre de origem desconhecida e de outras origens
Reumática,Febre reumática com comprometimento do coração
Abdome,"Ferimento do abdome, do dorso e da pelve"
Crânio,Fratura do crânio e dos ossos da face
Nível,Fratura ao nível do punho e da mão
Linfangioma,Hemangioma e linfangioma de qualquer localização
Anteparto,Hemorragia anteparto não classificada em outra parte
Crônica,Hepatite crônica não classificada em outra parte
Prepúcio,"Hipertrofia do prepúcio, fimose e parafimose"
Subclínico,Hipotireoidismo subclínico por deficiência de iodo
Pessoal,História pessoal de algumas outras doenças
Neonatal,Icterícia neonatal devida a outras hemólises excessivas
Predominância,Imunodeficiência com predominância de defeitos de anticorpos
Agudas,Infecções agudas não especificada das vias aéreas inferiores
Virais,Infecções virais não especificadas do sistema nervoso central
Vírus,Infecções por vírus atípicos do sistema nervoso central
Vírus,Infecções pelo vírus do herpes [herpes simples]
Gripe,Influenza [gripe] devida a vírus não identificado
Hepática,Insuficiência hepática não classificada em outra parte
Respiratória,Insuficiência respiratória não classificada de outra parte
Anestésicos,Intoxicação por anestésicos e gases terapêuticos
Narcóticos,Intoxicação por narcóticos e psicodislépticos [alucinógenos]
Períneo,Laceração do períneo durante o parto
Esmagamento,Lesão por esmagamento do ombro e do braço
Esmagamento,Lesão por esmagamento do punho e da mão
Esmagamento,Lesão por esmagamento do quadril e da coxa
Esmagamento,Lesão por esmagamento do tornozelo e do pé
Biomecânicas,Lesões biomecânicas não classificadas em outra parte
Congênitas,Malformações congênitas das câmaras e das comunicações cardíacas
Bacteriana,Meningite bacteriana não classificada em outra parte
Por,Morte por seqüelas de causas obstétricas diretas
Traumatizado,Motociclista traumatizado em colisão com um veículo a pedal
Hereditária,Nefropatia hereditária não classificada em outra parte
Benigna,Neoplasia benigna da boca e da faringe
Maligna,Neoplasia maligna do ânus e do canal anal
Maligna,Neoplasia maligna dos brônquios e dos pulmões
Média,Otite média em doenças classificadas em outra parte
Doenças,Outras doenças degenerativas dos gânglios da base
Doenças,Outras doenças desmielinizantes do sistema nervoso central
Doenças,Outras doenças do estômago e do duodeno
Dorsopatias,Outras dorsopatias não classificadas em outra parte
Formas,Outras formas e as não especificadas da sífilis
Leucemias,Outras leucemias de células de tipo especificado
Malformações,Outras malformações congênitas do sistema vascular periférico
Micoses,"Outras micoses, não classificadas em outra parte"
Cardíacas,Outras afecções cardíacas em doenças classificadas em outra parte
Transtornos,Outros transtornos da densidade e da estrutura ósseas
Transtornos,Outros transtornos dos dentes e de suas estruturas de sustentação
Transtornos,Outros transtornos não-inflamatórios do colo do útero
Traumatismos,Outros traumatismos da cabeça e os não especificados
Traumatismos,Outros traumatismos do antebraço e os não especificados
Traumatizado,Pedestre traumatizado em colisão com um veículo a pedal
Bacteriana,Pneumonia bacteriana não classificada em outra parte
Viral,Pneumonia viral não classificada em outra parte
Relacionados,Problemas relacionados com a educação e com a alfabetização
Relacionados,Problemas relacionados com a habitação e com as condições econômicas
Relacionados,Problemas relacionados com a organização de seu modo de vida
Relacionados,Problemas relacionados com eventos negativos de vida na infância
Outras,Projéteis de outras armas de fogo e das não especificadas
Corrosão,Queimadura e corrosão da cabeça e pescoço
Corrosão,Queimadura e corrosão do punho e da mão
Corrosão,Queimadura e corrosão do tornozelo e do pé
Placenta,"Retenção da placenta e das membranas, sem hemorragias"
Obstrução,Salpingite e obstrução da trompa de Eustáquio
Traumatismos,Seqüelas de traumatismos do pescoço e do tronco
Vertiginosas,Síndromes vertiginosas em doenças classificadas em outra parte
Mental,Transtorno mental não especificado em outra parte
Personalidade,"Transtorno da personalidade e do comportamento do adulto, não especificado"
Bexiga,Transtornos da bexiga em doenças classificadas em outra parte
Cerebrovasculares,Transtornos cerebrovasculares em doenças classificadas em outra parte
Conjuntiva,Transtornos da conjuntiva em doenças classificadas em outra parte
Coriorretinianos,Transtornos coriorretinianos em doenças classificadas em outra parte
Esôfago,Transtornos do esôfago em doenças classificadas em outra parte
Fígado,Transtornos do fígado em doenças classificadas em outra parte
Glomerulares,Transtornos glomerulares em doenças classificadas em outra parte
Mistos,Transtornos mistos de conduta e das emoções
Músculo,Transtornos de músculo em doenças classificadas em outra parte
